Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
NeuN_minus.B34_T4_HS	(1, 0.35111410429658774)	(2, 0.010896988187133416)	(3, 0.004280834788304417)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 9.264362751332547e-05)	(9, 0.0)	(10, 0.0)	(11, 0.003072971644687287)	(12, 7.691169076577964e-05)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0021430393836101326)	(19, 3.495985943899075e-05)	(20, 9.264362751332547e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.004499333909798109)	(27, 0.00381412066479389)	(28, 0.0009788760642917408)	(29, 0.0)	(30, 0.0)	(31, 0.00031638672792286623)	(32, 0.0002936628192875223)	(33, 0.0028964243545203834)	(34, 0.0)	(35, 0.0008128167319565349)	(36, 0.0)	(37, 0.00026045095282048106)	(38, 0.0024978819569158885)	(39, 0.0026377213946718516)	(40, 0.0)	(41, 0.0)	(42, 0.00767194115388652)	(43, 0.0005086659548373154)	(44, 0.0038648124609804266)	(45, 0.0033369185834516667)	(46, 0.0018109207189397206)	(47, 0.0010977395863843095)	(48, 0.0)	(49, 0.00400639989170834)	(50, 1.5731936747545834e-05)	(51, 0.0)
NeuN_minus.B35_T3_HS	(1, 0.5029475313549189)	(2, 0.00258228268234481)	(3, 0.001600859233888686)	(4, 0.010694238975704729)	(5, 0.005206693239265639)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0014151845274240139)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 3.276612467023626e-05)	(18, 0.0)	(19, 0.0)	(20, 7.333370759529068e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0010812821141177966)	(25, 0.0005741873275546164)	(26, 4.680874952890894e-06)	(27, 0.0010609983226552693)	(28, 0.005024139116102893)	(29, 0.0)	(30, 0.00037446999623127157)	(31, 0.0007505002841135068)	(32, 0.0)	(33, 0.00011234099886938145)	(34, 0.0)	(35, 0.0012029848628929598)	(36, 0.0028990218874904274)	(37, 0.0)	(38, 1.5602916509636316e-05)	(39, 0.003323421216552535)	(40, 0.00015134829014347225)	(41, 0.0)	(42, 0.0019300807722420121)	(43, 0.004581016287229222)	(44, 0.0025885238489486645)	(45, 0.0012170274877516324)	(46, 8.893662410492699e-05)	(47, 0.0)	(48, 0.0)	(49, 0.0015992989422377222)	(50, 0.0003182994967965808)	(51, 3.120583301927263e-06)
NeuN_minus.B36_T3_HS	(1, 0.8332735574571867)	(2, 0.009265530306239845)	(3, 0.004899573617435729)	(4, 0.015699656848740428)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0015458720720358276)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.00014553188962680385)	(28, 7.923402879681543e-05)	(29, 0.0021975315333647378)	(30, 0.0003864680180089569)	(31, 0.0)	(32, 0.00743344551793797)	(33, 0.0)	(34, 0.002980169695357772)	(35, 0.0)	(36, 0.0)	(37, 0.0011982125579273516)	(38, 0.0013437444475541556)	(39, 0.0023091059820786208)	(40, 7.438296580925529e-05)	(41, 0.0005756594745238018)	(42, 1.1319146970973633e-05)	(43, 0.0016251061008326429)	(44, 0.00043982971087211826)	(45, 0.0)	(46, 0.0)	(47, 2.910637792536077e-05)	(48, 0.0)	(49, 0.0)	(50, 1.2936167966827007e-05)	(51, 0.006325786135778407)
NeuN_minus.B37_T1_HS	(1, 0.10996143583815038)	(2, 0.061593148982979934)	(3, 0.0)	(4, 0.015604343271695038)	(5, 0.0)	(6, 0.0)	(7, 8.076567851308646e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0026859765392685422)	(20, 0.014252035885309256)	(21, 0.0)	(22, 0.0)	(23, 0.0005902107275956318)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 1.4496403835682185e-05)	(31, 0.0)	(32, 0.003810483293950746)	(33, 0.0)	(34, 0.003936809098804548)	(35, 0.0)	(36, 0.0)	(37, 0.003298967330034532)	(38, 0.0)	(39, 0.0)	(40, 0.00018224050536286176)	(41, 9.319116751509976e-05)	(42, 0.001207343348028959)	(43, 0.0)	(44, 7.455293401207981e-05)	(45, 0.0005197996232508899)	(46, 0.00032099179921867693)	(47, 6.41983598437354e-05)	(48, 0.0007579548291228115)	(49, 0.0022365880203623944)	(50, 6.212744501006651e-06)	(51, 6.41983598437354e-05)
NeuN_minus.B38_T1_HS	(1, 0.12304044056615909)	(2, 0.06438440275088676)	(3, 0.0)	(4, 0.01948481467677189)	(5, 0.0)	(6, 0.0)	(7, 0.0001364634852014267)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0032751236448342403)	(20, 0.014992374715084014)	(21, 0.0)	(22, 0.0)	(23, 0.000773809989948999)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 2.9463707032126218e-05)	(31, 0.0)	(32, 0.0040225713705966)	(33, 0.0)	(34, 0.004117165377383953)	(35, 0.0)	(36, 0.0)	(37, 0.0035263405153186855)	(38, 0.0)	(39, 0.0)	(40, 0.00023105749198877926)	(41, 0.000105449056746557)	(42, 0.0013119103236409885)	(43, 0.0)	(44, 8.218823540540472e-05)	(45, 0.0005334481694237588)	(46, 0.00032410077735338844)	(47, 7.908679255991775e-05)	(48, 0.0009273314108006041)	(49, 0.0023989660409841716)	(50, 9.30432853646091e-06)	(51, 8.218823540540472e-05)
NeuN_minus.B39_T1_HS	(1, 0.08825572817420888)	(2, 0.04175989720246256)	(3, 0.015965081995927596)	(4, 0.0)	(5, 0.0)	(6, 0.003859964064589163)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00042552186874391605)	(11, 0.0)	(12, 0.0)	(13, 1.7804262290540423e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 1.780426229054042e-06)	(21, 0.0008688479997783725)	(22, 0.00015489708192770166)	(23, 2.492596720675659e-05)	(24, 0.00017270134421824208)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0002902094753358089)	(29, 0.003464709441739166)	(30, 0.0)	(31, 0.0)	(32, 3.560852458108084e-06)	(33, 0.011004814521783035)	(34, 0.00028842904910675484)	(35, 8.902131145270212e-06)	(36, 0.0015098014422378276)	(37, 6.587577047499956e-05)	(38, 0.001435023540617558)	(39, 0.007983431211078324)	(40, 0.0007566811473479679)	(41, 5.6973639329729346e-05)	(42, 0.002665298064893901)	(43, 0.002553131212463496)	(44, 3.0267245893918715e-05)	(45, 0.0)	(46, 0.00015845793438580975)	(47, 0.0004415457048054024)	(48, 0.0027632215074918733)	(49, 0.0006730011145824279)	(50, 0.0012089094095276945)	(51, 0.0011893247210081)
NeuN_minus.B40_T2_HS	(1, 0.40663781966308504)	(2, 0.02550104880546105)	(3, 0.0011972628041497712)	(4, 0.015121526554850974)	(5, 0.0)	(6, 1.622307322696167e-06)	(7, 0.0)	(8, 0.001096679750142609)	(9, 0.0008711790322878417)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.001795894206224657)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.00012167304920221253)	(18, 0.0)	(19, 0.0)	(20, 2.271230251774634e-05)	(21, 0.0)	(22, 5.1913834326277346e-05)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.005846795590996986)	(27, 0.004557061269453533)	(28, 0.010716962173730879)	(29, 0.005812727137220366)	(30, 0.009396404013056199)	(31, 0.00134164815586973)	(32, 2.920153180853101e-05)	(33, 0.0016563757764727865)	(34, 0.008823729528144452)	(35, 0.0)	(36, 0.0)	(37, 0.004729025845659327)	(38, 0.0063464662463874055)	(39, 0.004779317372662907)	(40, 0.010575821436656313)	(41, 0.004464589752059852)	(42, 0.0)	(43, 0.0054866433653584365)	(44, 0.0)	(45, 1.2978458581569336e-05)	(46, 0.007352296786459029)	(47, 0.0)	(48, 0.002882840112431089)	(49, 0.0003390622304434989)	(50, 0.0)	(51, 0.0037442853007827537)
NeuN_minus.B41_T1_HS	(1, 0.09403425346422113)	(2, 0.04278450647221246)	(3, 0.01719308581367027)	(4, 0.0)	(5, 0.0)	(6, 0.0041498244871792924)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004114699007844038)	(11, 0.0)	(12, 0.0)	(13, 2.843491184282465e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0009383520908132137)	(22, 0.0001488651267065526)	(23, 2.3416986223502655e-05)	(24, 0.0001589009779451966)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0003077661046517492)	(29, 0.003497494156667432)	(30, 0.0)	(31, 0.0)	(32, 1.6726418731073325e-06)	(33, 0.011235135461661952)	(34, 0.00034456422586011046)	(35, 1.338113498485866e-05)	(36, 0.0016107541238023614)	(37, 7.025095867050797e-05)	(38, 0.001433454085252984)	(39, 0.008789733043179032)	(40, 0.0008413388621729883)	(41, 8.530473552847397e-05)	(42, 0.0027481505975153475)	(43, 0.0026176845314129756)	(44, 1.338113498485866e-05)	(45, 0.0)	(46, 0.00016559154543762593)	(47, 0.0005201916225363804)	(48, 0.002768222299992635)	(49, 0.000754361484771407)	(50, 0.0011641587436827033)	(51, 0.0013448040659782953)
NeuN_minus.B42_T3_HS	(1, 0.3493142313847931)	(2, 0.01293738464138439)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0010031359548382701)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.005540670410781427)	(14, 0.0)	(15, 0.0)	(16, 0.003723395130277315)	(17, 0.0)	(18, 0.004043235579646039)	(19, 0.0021855764040196123)	(20, 0.0)	(21, 0.0)	(22, 0.00418377153467169)	(23, 0.0)	(24, 0.0)	(25, 4.846067414677633e-05)	(26, 0.006230427339470544)	(27, 0.0)	(28, 0.0018786588010900292)	(29, 0.052355296992372256)	(30, 0.001972349437773797)	(31, 0.0012244397001085487)	(32, 0.0)	(33, 0.0003327632958078642)	(34, 0.005109370410875118)	(35, 0.0029738700368071745)	(36, 0.00024714943814855927)	(37, 0.00010338277151312285)	(38, 0.0005540670410781427)	(39, 8.076779024462722e-05)	(40, 0.00020999625463603077)	(41, 0.0008141393256658423)	(42, 0.0012147475652791934)	(43, 3.230711609785089e-05)	(44, 0.0003343786516127567)	(45, 0.00015184344565989918)	(46, 0.0026411067409993104)	(47, 3.715318351252852e-05)	(48, 0.0007899089885924542)	(49, 0.04626702096373226)	(50, 3.715318351252852e-05)	(51, 0.0035101681640314986)
NeuN_minus.B43_T2_HS	(1, 1.073654470014465)	(2, 0.008429512370078236)	(3, 0.007159962330351066)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.008736903423004302)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 6.247785628578591e-05)	(14, 0.00015244596933731763)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.003393797153443891)	(19, 9.996457005725745e-06)	(20, 0.0)	(21, 0.0)	(22, 0.0002873981389146152)	(23, 0.0)	(24, 0.0002948954816689095)	(25, 0.0)	(26, 0.00281900087561466)	(27, 0.0003698689092118526)	(28, 0.001724388833487691)	(29, 0.0008097130174637854)	(30, 0.00026490611065173227)	(31, 0.002771517704837463)	(32, 0.0)	(33, 0.004943247989331381)	(34, 0.0015769410926532363)	(35, 0.0)	(36, 0.0)	(37, 0.001054626214104066)	(38, 0.004650851621913903)	(39, 0.0001224565983201404)	(40, 0.005378093869080451)	(41, 6.247785628578591e-05)	(42, 1.999291401145149e-05)	(43, 0.002364162081854139)	(44, 2.499114251431436e-05)	(45, 0.000984651015063986)	(46, 0.002351666510596982)	(47, 0.0)	(48, 0.005048210787891502)	(49, 0.0016968985767219454)	(50, 0.000532311335554896)	(51, 0.043994407282199006)
