Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
NeuN_minus.B30_T1_HS - nextera_transposase_sequence	(1, 2.6288233524687577e-05)	(2, 3.4503306501152446e-05)	(3, 5.58624962399611e-05)	(4, 0.00010350991950345733)	(5, 0.00011994006545638706)	(6, 0.00012651212383755895)	(7, 0.00015444337195753951)	(8, 0.0001741595471010552)	(9, 0.00029245659796214927)	(10, 0.00040582460503736444)	(11, 0.0004748312180396693)	(12, 0.0005126205537314077)	(13, 0.0005651970207807828)	(14, 0.0006687069402842403)	(15, 0.000864225677124104)	(16, 0.0010318131658439873)	(17, 0.0011895425669921128)	(18, 0.001363702114093168)	(19, 0.001546076734170688)	(20, 0.001991333689495084)	(21, 0.0022180697036455143)	(22, 0.0028309141476897935)	(23, 0.003169375154320146)	(24, 0.0036162751242398345)	(25, 0.004317842356429935)	(26, 0.005180425018958746)	(27, 0.013165475952082596)	(28, 0.02585447767153023)	(29, 0.04128402773592654)	(30, 0.05685323404092276)	(31, 0.06981333316859374)	(32, 0.0838726090605157)	(33, 0.10790991258965191)	(34, 0.15076959132246442)	(35, 0.21714902398689584)	(36, 0.3321140412487358)	(37, 0.5172900012112304)	(38, 0.7293210347337886)	(39, 0.9612719772096788)	(40, 1.2260766395330474)
NeuN_minus.B30_T1_HS - polya	(1, 0.000496190407778478)	(2, 0.0005487668748278532)	(3, 0.0005734120937572478)	(4, 0.0006670639256889472)	(5, 0.0009726646404134403)	(6, 0.001603582245005942)	(7, 0.0018796086970151616)	(8, 0.002405373367508913)	(9, 0.0027980538557839337)	(10, 0.004858394158281322)	(11, 0.007561153167538264)	(12, 0.011264508065328626)	(13, 0.015188026918888247)	(14, 0.019165765254092536)	(15, 0.02513483727879191)	(16, 0.03790270369881361)	(17, 0.04383562940241653)	(18, 0.0638360460709179)	(19, 0.06869444022919922)	(20, 0.07465036813713626)	(21, 0.08023333173194178)	(22, 0.08524288323299005)	(23, 0.09059418176985927)	(24, 0.09688364164064077)	(25, 0.10177325307623265)	(26, 0.11263357955111922)	(27, 0.11748047260723349)	(28, 0.12717097269027144)	(29, 0.13214602088481855)	(30, 0.13849627229562592)	(31, 0.14684935849809538)	(32, 0.15265248604867016)	(33, 0.15773268717731603)	(34, 0.16388249080749764)	(35, 0.17283692035184434)	(36, 0.19313800869128434)	(37, 0.20234874851249673)	(38, 0.21120788321031644)	(39, 0.21719009935177816)	(40, 0.22571898811594399)
NeuN_minus.B31_T1_HS - nextera_transposase_sequence	(1, 1.7753438602495473e-05)	(2, 2.663015790374321e-05)	(3, 3.5506877204990946e-05)	(4, 7.101375440998189e-05)	(5, 0.00010652063161497284)	(6, 0.00010873981144028477)	(7, 0.00014202750881996378)	(8, 0.00017309602637433086)	(9, 0.0002707399386880559)	(10, 0.00037947975012834074)	(11, 0.00042830170628520325)	(12, 0.0004571510440142584)	(13, 0.0004948771010445613)	(14, 0.0005547949563279835)	(15, 0.0006568772282923325)	(16, 0.000738986881828874)	(17, 0.0008144389958894798)	(18, 0.0009431514257575719)	(19, 0.0010452336977219208)	(20, 0.0014935080224349317)	(21, 0.0017220835444420608)	(22, 0.002396714211336889)	(23, 0.0027806323211158534)	(24, 0.0033664957949982037)	(25, 0.004067756619796775)	(26, 0.005146278014898375)	(27, 0.01787771267271294)	(28, 0.03719789223187864)	(29, 0.05954059471311919)	(30, 0.08415573733547917)	(31, 0.10755698859339351)	(32, 0.13348588567233816)	(33, 0.17798709870931836)	(34, 0.2539407474104446)	(35, 0.3635016553860948)	(36, 0.5433306733504221)	(37, 0.8148695167755903)	(38, 1.1144499164734)	(39, 1.4293293418869104)	(40, 1.7805123300626986)
NeuN_minus.B31_T1_HS - polya	(1, 0.0002418906009590008)	(2, 0.0002773974781639918)	(3, 0.0002995892764171111)	(4, 0.00035063041239928556)	(5, 0.0005436990572014239)	(6, 0.0008987678292513333)	(7, 0.0010341377985953614)	(8, 0.0012804667592049858)	(9, 0.001477973763657748)	(10, 0.002596440395614963)	(11, 0.004058879900495528)	(12, 0.006045045844149708)	(13, 0.008301951726491945)	(14, 0.010667597420274467)	(15, 0.01434255921099103)	(16, 0.021781249985436634)	(17, 0.025331937705935725)	(18, 0.03671854938961126)	(19, 0.03963455168007114)	(20, 0.04328288331288396)	(21, 0.0469534067439499)	(22, 0.050093546196766287)	(23, 0.053615384579536324)	(24, 0.05774971659409246)	(25, 0.06077667787581794)	(26, 0.06740092965437405)	(27, 0.07024813737024928)	(28, 0.07587375822741503)	(29, 0.07894732228547205)	(30, 0.08269773619024923)	(31, 0.08776412373143637)	(32, 0.0911927565615433)	(33, 0.0942596630801244)	(34, 0.09788136455503348)	(35, 0.10320517695595681)	(36, 0.11517321375386406)	(37, 0.12059688924692644)	(38, 0.12582527691536136)	(39, 0.1295712524604879)	(40, 0.13466205097975348)
NeuN_minus.B32_T3_HS - nextera_transposase_sequence	(1, 1.0045699292479389e-05)	(2, 1.6073118867967024e-05)	(3, 3.013709787743817e-05)	(4, 6.027419575487634e-05)	(5, 7.232903490585161e-05)	(6, 7.433817476434749e-05)	(7, 7.835645448133923e-05)	(8, 8.438387405682687e-05)	(9, 0.00015068548938719086)	(10, 0.00020694140542507544)	(11, 0.00022904194386853008)	(12, 0.0002511424823119847)	(13, 0.00027726130047243117)	(14, 0.00031342581792535694)	(15, 0.00040383711155767146)	(16, 0.00048018442618051485)	(17, 0.0005846596988223004)	(18, 0.0006951623910395738)	(19, 0.0007996376636813594)	(20, 0.0011472188592011464)	(21, 0.001416443600239594)	(22, 0.0020935237325527046)	(23, 0.0024310592287800125)	(24, 0.002979554410149387)	(25, 0.00348987593420734)	(26, 0.004349787793643576)	(27, 0.011865980004276655)	(28, 0.021204462066565496)	(29, 0.03198349740739588)	(30, 0.043592307509785065)	(31, 0.05391928638245388)	(32, 0.06592188789710825)	(33, 0.08447428535045919)	(34, 0.11542508487058818)	(35, 0.15701427994145287)	(36, 0.22246602911167307)	(37, 0.3298485271287023)	(38, 0.4533583907898779)	(39, 0.5936043894723241)	(40, 0.7673106033581607)
NeuN_minus.B32_T3_HS - polya	(1, 0.0002370785033025136)	(2, 0.0002712338808969435)	(3, 0.00029735269905738996)	(4, 0.0003556177549537704)	(5, 0.000510321524057953)	(6, 0.0009021037964646492)	(7, 0.0010748898242952947)	(8, 0.0014626538169849991)	(9, 0.001695714040570521)	(10, 0.0027706038648658156)	(11, 0.004193074884680897)	(12, 0.006055547533506576)	(13, 0.008068705671719446)	(14, 0.010097936928800283)	(15, 0.013123701555695075)	(16, 0.019850301801939273)	(17, 0.02297652342175886)	(18, 0.033048341532398696)	(19, 0.03566223248830183)	(20, 0.038804527226989384)	(21, 0.04204727895860173)	(22, 0.04488619357865641)	(23, 0.04800236949918352)	(24, 0.051486218013815366)	(25, 0.054465772423964755)	(26, 0.06043090866383902)	(27, 0.06316333887139342)	(28, 0.06854582455230387)	(29, 0.07124409938226384)	(30, 0.07433214734477199)	(31, 0.07854129534832086)	(32, 0.08111902178677108)	(33, 0.0836364740294664)	(34, 0.0864653429502286)	(35, 0.09050170492594682)	(36, 0.09958502622620669)	(37, 0.10369170809697226)	(38, 0.10800734051302141)	(39, 0.1109848857833123)	(40, 0.11511567733237982)
NeuN_minus.B33_T1_HS - nextera_transposase_sequence	(1, 0.00021914881691326602)	(2, 0.00022704607157680712)	(3, 0.0002388919535721188)	(4, 0.0002764039132239391)	(5, 0.00029022410888513605)	(6, 0.00029417273621690665)	(7, 0.00030206999088044776)	(8, 0.0003079929318781036)	(9, 0.0003652480281887767)	(10, 0.0004225031244994498)	(11, 0.00046791233881481124)	(12, 0.0005034499848007463)	(13, 0.0005528078264478782)	(14, 0.0006041399817608955)	(15, 0.0006811382147304213)	(16, 0.0007502391930364062)	(17, 0.0008232887986741615)	(18, 0.000904235658975458)	(19, 0.0010128229105991484)	(20, 0.001314892901479596)	(21, 0.0014846838767457301)	(22, 0.0019111356285769505)	(23, 0.002189513855466775)	(24, 0.0026515032532839302)	(25, 0.0031470559834211355)	(26, 0.00402759987840597)	(27, 0.01562076972448433)	(28, 0.030627527898878338)	(29, 0.04736378484458785)	(30, 0.06323331809097373)	(31, 0.07833089469399845)	(32, 0.09893878073850901)	(33, 0.13814865014299066)	(34, 0.20586563456918985)	(35, 0.3077204765922114)	(36, 0.4789941614214253)	(37, 0.7368750638320287)	(38, 1.0185721119942062)	(39, 1.3073352287665871)	(40, 1.6088484631932554)
NeuN_minus.B33_T1_HS - polya	(1, 0.0005034499848007463)	(2, 0.0005291160624572549)	(3, 0.0005488591991161077)	(4, 0.0006100629227585513)	(5, 0.0007660337023634884)	(6, 0.00120038270885825)	(7, 0.0013385846654702194)	(8, 0.0015557591687176)	(9, 0.001723575830317849)	(10, 0.002748244622912309)	(11, 0.003996010859751806)	(12, 0.005451080031509257)	(13, 0.0071272723338458585)	(14, 0.008894283064813184)	(15, 0.011545786318097113)	(16, 0.01771156789665684)	(17, 0.020524964870543363)	(18, 0.031053979650709558)	(19, 0.033389592717451844)	(20, 0.036483342231894075)	(21, 0.03971726801661417)	(22, 0.042700455965766826)	(23, 0.0458692293995127)	(24, 0.049288740668826)	(25, 0.05204093391907008)	(26, 0.05786713354709754)	(27, 0.06051271385938381)	(28, 0.06583348918894465)	(29, 0.0685086842062192)	(30, 0.07194004135752781)	(31, 0.07644937377040979)	(32, 0.07937135799592)	(33, 0.08217883202880887)	(34, 0.08522914664260163)	(35, 0.09002870316436874)	(36, 0.10091506871806018)	(37, 0.10592982542940878)	(38, 0.11105711801971285)	(39, 0.11441345125171783)	(40, 0.1193650299257581)
NeuN_minus.B34_T4_HS - nextera_transposase_sequence	(1, 3.495985943899075e-05)	(2, 4.0203838354839354e-05)	(3, 5.069179618653658e-05)	(4, 7.341570482188056e-05)	(5, 8.565165562552732e-05)	(6, 8.739964859747687e-05)	(7, 0.0001031315853450227)	(8, 0.00011536753614866946)	(9, 0.0001695553182791051)	(10, 0.00022374310040954078)	(11, 0.00026045095282048106)	(12, 0.00027793088253997645)	(13, 0.00030240278414726997)	(14, 0.0003338666576423616)	(15, 0.00041602232732398985)	(16, 0.0004667141235105264)	(17, 0.0005313898634726593)	(18, 0.0006100495472103885)	(19, 0.0006974491958078654)	(20, 0.00086875250705892)	(21, 0.0009666401134880941)	(22, 0.0012830268414109603)	(23, 0.001450834166718116)	(24, 0.0017165290984544456)	(25, 0.0020276718474614634)	(26, 0.002538085795270728)	(27, 0.010757148749377452)	(28, 0.0224774416262991)	(29, 0.03621142240690661)	(30, 0.04996812709614947)	(31, 0.06221806184357183)	(32, 0.07531227719644581)	(33, 0.0963004288106439)	(34, 0.13146480342735276)	(35, 0.18120918742309267)	(36, 0.2650184584561852)	(37, 0.39657590551105126)	(38, 0.5473979831097732)	(39, 0.7102724722500872)	(40, 0.8900343214924057)
NeuN_minus.B34_T4_HS - polya	(1, 0.000702693174723714)	(2, 0.0007341570482188056)	(3, 0.0007498889849663515)	(4, 0.0008180607108723834)	(5, 0.001034811839394126)	(6, 0.0015085179347924507)	(7, 0.0016973011757630007)	(8, 0.001968240086415179)	(9, 0.0021622673063015777)	(10, 0.003468018056347882)	(11, 0.005268450817455905)	(12, 0.007642225273363377)	(13, 0.010332386457193714)	(14, 0.01295612390808997)	(15, 0.017245698661254135)	(16, 0.026794984267014457)	(17, 0.03116671468986025)	(18, 0.045774691956442536)	(19, 0.049382549450546376)	(20, 0.05407765857320283)	(21, 0.05837772128419869)	(22, 0.06221456585762793)	(23, 0.0665146285686238)	(24, 0.07159080015916525)	(25, 0.07547833652878101)	(26, 0.08434590487548102)	(27, 0.08809010582139692)	(28, 0.0956187115515836)	(29, 0.09931396869428491)	(30, 0.10419786105791191)	(31, 0.11066718304709715)	(32, 0.11509659723801728)	(33, 0.11885653012068073)	(34, 0.123731682519448)	(35, 0.13065023870242426)	(36, 0.14726840788674853)	(37, 0.15488790925147655)	(38, 0.16212285216237568)	(39, 0.1669578007227881)	(40, 0.17380818517985833)
