Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
NeuN_minus.B35_T3_HS - nextera_transposase_sequence	(1, 1.7163208160599944e-05)	(2, 2.4964666415418102e-05)	(3, 3.588670797216352e-05)	(4, 5.46102077837271e-05)	(5, 6.241166603854526e-05)	(6, 6.397195768950889e-05)	(7, 7.177341594432704e-05)	(8, 7.645429089721795e-05)	(9, 0.00014666741519058136)	(10, 0.00019035558141756304)	(11, 0.00021688053948394476)	(12, 0.00023560403929550835)	(13, 0.00026056870571092647)	(14, 0.000308937746890799)	(15, 0.0003666685379764534)	(16, 0.00041815816245825325)	(17, 0.000474328661892944)	(18, 0.0005539035360920891)	(19, 0.0006194357854325616)	(20, 0.000795748741991452)	(21, 0.0009049691575589063)	(22, 0.001173339321524651)	(23, 0.0013855389860557047)	(24, 0.001633625358558922)	(25, 0.0019612866052612847)	(26, 0.0024012888508330287)	(27, 0.007285001718349195)	(28, 0.01327652165804954)	(29, 0.020393011878094662)	(30, 0.027857447136304676)	(31, 0.035345286769279144)	(32, 0.04579612024743355)	(33, 0.06452274064229906)	(34, 0.09489381762830613)	(35, 0.1375147443660287)	(36, 0.20542799876587173)	(37, 0.30790015294290823)	(38, 0.4252824541365532)	(39, 0.5504381283352989)	(40, 0.6934138934797004)
NeuN_minus.B35_T3_HS - polya	(1, 0.0009892249067109424)	(2, 0.001050076281098524)	(3, 0.0010781615308158693)	(4, 0.0011764599048265782)	(5, 0.0014588726936509953)	(6, 0.0020283791462527207)	(7, 0.0022717846438030475)	(8, 0.0027133471810257552)	(9, 0.0030207246362655904)	(10, 0.004563853079068622)	(11, 0.006720176140700361)	(12, 0.009318061739554807)	(13, 0.012471411166152305)	(14, 0.015627881176051732)	(15, 0.020528757251728497)	(16, 0.030967108396675193)	(17, 0.035738480265321976)	(18, 0.05224948651581913)	(19, 0.05624695372558795)	(20, 0.06125392963353024)	(21, 0.06625778495817061)	(22, 0.07083880124539983)	(23, 0.07560393194744276)	(24, 0.08113204526680691)	(25, 0.08557731618040229)	(26, 0.09478303692108772)	(27, 0.09904731400317132)	(28, 0.10772097529087815)	(29, 0.11213035949650138)	(30, 0.1175180465672788)	(31, 0.12495907745072435)	(32, 0.12999569890003496)	(33, 0.13422720985744832)	(34, 0.13960865576162187)	(35, 0.14749593005724304)	(36, 0.1647309116337873)	(37, 0.1727539313030423)	(38, 0.18047581468366133)	(39, 0.18576832396372997)	(40, 0.1931375814312312)
NeuN_minus.B36_T3_HS - nextera_transposase_sequence	(1, 3.2340419917067523e-06)	(2, 8.08510497926688e-06)	(3, 2.4255314937800642e-05)	(4, 5.9829776846574915e-05)	(5, 6.79148818258418e-05)	(6, 7.599998680510867e-05)	(7, 8.893615477193568e-05)	(8, 9.863828074705593e-05)	(9, 0.00017302124655631124)	(10, 0.0002490212333614199)	(11, 0.00029268080024946107)	(12, 0.0003153190941914083)	(13, 0.0003444254721167691)	(14, 0.00039455312298822373)	(15, 0.0004834892777601594)	(16, 0.0005611062855611215)	(17, 0.0006322552093786701)	(18, 0.0007292764691298726)	(19, 0.0008327658128644887)	(20, 0.0010688508782590817)	(21, 0.0012111487258941787)	(22, 0.00151838271510632)	(23, 0.0017512337385092063)	(24, 0.0021102123995886558)	(25, 0.0026244250762700295)	(26, 0.003507318540005973)	(27, 0.015322890956706591)	(28, 0.029827569289511375)	(29, 0.04671411954920818)	(30, 0.06143224465346561)	(31, 0.07408866798800999)	(32, 0.08970747378695774)	(33, 0.11617972451007336)	(34, 0.1583241427249999)	(35, 0.22248753584046185)	(36, 0.3313502403442987)	(37, 0.5044442528454234)	(38, 0.712619535851587)	(39, 0.9437565169988685)	(40, 1.1951790265391307)
NeuN_minus.B36_T3_HS - polya	(1, 0.0009119998416613041)	(2, 0.0009782977024912925)	(3, 0.0010268083323668937)	(4, 0.0011028083191720025)	(5, 0.0013566806155209826)	(6, 0.0018611911662272359)	(7, 0.002111829420584509)	(8, 0.0025096165855644395)	(9, 0.0028087654697973143)	(10, 0.004092680140504895)	(11, 0.00592476492880677)	(12, 0.008201530490968324)	(13, 0.0106577853836696)	(14, 0.013135061549316974)	(15, 0.01663429498434368)	(16, 0.024079059649252624)	(17, 0.027806293044694654)	(18, 0.039526461222639926)	(19, 0.04246458837210551)	(20, 0.0462209281454729)	(21, 0.050083991304566616)	(22, 0.05313207588175023)	(23, 0.056565011455946945)	(24, 0.060453946950974315)	(25, 0.06344220175131135)	(26, 0.07003964741439313)	(27, 0.07302790221473017)	(28, 0.07933913516154589)	(29, 0.08236619846578341)	(30, 0.08619692120496006)	(31, 0.09147164369343377)	(32, 0.09492236649858488)	(33, 0.098119217007387)	(34, 0.10185615252880416)	(35, 0.10728287499088808)	(36, 0.1194072984177967)	(37, 0.12496176553855305)	(38, 0.13032542418179868)	(39, 0.13414482777400438)	(40, 0.13931767793973932)
NeuN_minus.B37_T1_HS - nextera_transposase_sequence	(1, 0.0001925950795312062)	(2, 0.00019880782403221284)	(3, 0.00020502056853321948)	(4, 0.0002505806948739349)	(5, 0.00026093526904227935)	(6, 0.0002692189283769549)	(7, 0.0002816444173789682)	(8, 0.0002940699063809815)	(9, 0.0003603391810583858)	(10, 0.00044731760407247886)	(11, 0.00047216858207650545)	(12, 0.0005218705380845587)	(13, 0.0005591470050905986)	(14, 0.0006047071314313141)	(15, 0.0006958273841127449)	(16, 0.0007703803181248247)	(17, 0.0008511459966379112)	(18, 0.000981613631159051)	(19, 0.0010913721173435016)	(20, 0.0014724204467385764)	(21, 0.0016712282707707891)	(22, 0.00218895697918801)	(23, 0.0025182324377413627)	(24, 0.003129152313673683)	(25, 0.0038166960384517527)	(26, 0.005260123677518965)	(27, 0.022148434146088712)	(28, 0.04185940153294915)	(29, 0.06378624779183528)	(30, 0.0855287826305249)	(31, 0.10844552617990476)	(32, 0.1393435754982445)	(33, 0.19598309619908846)	(34, 0.2885095000525805)	(35, 0.424388435034097)	(36, 0.6454254588909116)	(37, 0.9724146274678936)	(38, 1.3274998975932615)	(39, 1.6922418435880273)	(40, 2.071875738151706)
NeuN_minus.B37_T1_HS - polya	(1, 0.0007103237879484271)	(2, 0.0007579548291228115)	(3, 0.0007910894664615135)	(4, 0.0008842806339766134)	(5, 0.0011617832216882437)	(6, 0.0018265468832959553)	(7, 0.0020771275781698902)	(8, 0.002472672311400647)	(9, 0.0027087566024388996)	(10, 0.0039575182471412364)	(11, 0.005608037369575337)	(12, 0.007703803181248247)	(13, 0.010058433347129768)	(14, 0.012398567109175607)	(15, 0.01573273999138251)	(16, 0.023697478441673036)	(17, 0.027093778768890006)	(18, 0.03990445792996572)	(19, 0.04296527005412833)	(20, 0.046852377196924824)	(21, 0.050803682699565055)	(22, 0.054181344793279004)	(23, 0.057915204238384)	(24, 0.06187065157069157)	(25, 0.06497909473602856)	(26, 0.07206162346717615)	(27, 0.07511208101717042)	(28, 0.08128754905117103)	(29, 0.0845036797878588)	(30, 0.0884032124196573)	(31, 0.09372339262735267)	(32, 0.09745311024279033)	(33, 0.10077899946566256)	(34, 0.10461019190794998)	(35, 0.11043360442022689)	(36, 0.1229522845897553)	(37, 0.1286369458081764)	(38, 0.13430296879309445)	(39, 0.13819214685072462)	(40, 0.14372148945662053)
NeuN_minus.B38_T1_HS - nextera_transposase_sequence	(1, 0.0001147533852830179)	(2, 0.0001147533852830179)	(3, 0.00012405771381947882)	(4, 0.00014111564946965715)	(5, 0.00015197069942886156)	(6, 0.00015507214227434852)	(7, 0.0001659271922335529)	(8, 0.0001752315207700138)	(9, 0.00023415893483426625)	(10, 0.00033030366304436236)	(11, 0.0003582166486537451)	(12, 0.0003768253057266669)	(13, 0.0004078397341815366)	(14, 0.0004605642625548151)	(15, 0.0004946801338551718)	(16, 0.0005349988908465024)	(17, 0.0005861726977970374)	(18, 0.0006590566046659812)	(19, 0.0007272883472666945)	(20, 0.000990910989133087)	(21, 0.0011118672601070788)	(22, 0.0014390694803059541)	(23, 0.0017228515006680121)	(24, 0.002205125863141236)	(25, 0.0029897909030494395)	(26, 0.0046909323037990424)	(27, 0.030511994713900814)	(28, 0.062272320173110136)	(29, 0.09677277038630719)	(30, 0.12809269096145737)	(31, 0.16201937424823934)	(32, 0.2142151066163623)	(33, 0.31263784459646854)	(34, 0.48327147634804796)	(35, 0.7454147299771431)	(36, 1.1659455682824125)	(37, 1.7597431633150795)	(38, 2.402698627448715)	(39, 3.0487617373135287)	(40, 3.6884885994450123)
NeuN_minus.B39_T1_HS - nextera_transposase_sequence	(1, 2.3145540977702548e-05)	(2, 3.38280983520268e-05)	(3, 4.6291081955405096e-05)	(4, 7.833875407837785e-05)	(5, 8.368003276553998e-05)	(6, 8.546045899459403e-05)	(7, 0.00010860599997229657)	(8, 0.00011928855734662081)	(9, 0.00018694475405067442)	(10, 0.00026884436058716035)	(11, 0.0003133550163135114)	(12, 0.00034006140974932205)	(13, 0.00037923078678851096)	(14, 0.0004273022949729701)	(15, 0.0005198844588837803)	(16, 0.0006035644916493202)	(17, 0.0006676598358952658)	(18, 0.0007406573112864815)	(19, 0.0008385807538844538)	(20, 0.0011661791800303975)	(21, 0.001308613278354721)	(22, 0.0017109896061209345)	(23, 0.001983394819166203)	(24, 0.0024249405239716052)	(25, 0.002951946687771602)	(26, 0.003941863671125649)	(27, 0.016203659110620838)	(28, 0.030794252057718713)	(29, 0.0477243250697936)	(30, 0.06405617486890633)	(31, 0.07957080902888325)	(32, 0.09988903315484798)	(33, 0.13616877842428218)	(34, 0.19710564653988583)	(35, 0.28978217304083587)	(36, 0.44482524991932)	(37, 0.6827008766783144)	(38, 0.9458870427095409)	(39, 1.2209557733934742)	(40, 1.5152424247938168)
NeuN_minus.B39_T1_HS - polya	(1, 0.0011768617374047219)	(2, 0.0012712243275445861)	(3, 0.001312174130812829)	(4, 0.0014563886553662065)	(5, 0.0017946696388864744)	(6, 0.0026955653107878196)	(7, 0.0030374071467661958)	(8, 0.003710408261348624)	(9, 0.004103882457969567)	(10, 0.006024962359118879)	(11, 0.008729429801051968)	(12, 0.012044583439550595)	(13, 0.015699798487798542)	(14, 0.019223261995096493)	(15, 0.024151481797118082)	(16, 0.03511712694186193)	(17, 0.04043882094050446)	(18, 0.05769471195249624)	(19, 0.061942808935019175)	(20, 0.06712028840910833)	(21, 0.0723939108995664)	(22, 0.076926876078738)	(23, 0.08193877591352512)	(24, 0.08753287512521292)	(25, 0.0919305279109764)	(26, 0.10136500649873378)	(27, 0.10585524144840808)	(28, 0.1147912006920303)	(29, 0.11912831898600595)	(30, 0.12460847091903429)	(31, 0.1320809198023741)	(32, 0.13732249462070922)	(33, 0.1418162904228416)	(34, 0.14724480999522738)	(35, 0.15496651855063476)	(36, 0.17213338825117386)	(37, 0.18020940162616297)	(38, 0.187952475296319)	(39, 0.19324746290152572)	(40, 0.20080537224386014)
NeuN_minus.B40_T2_HS - nextera_transposase_sequence	(1, 4.542460503549268e-05)	(2, 5.6780756294365847e-05)	(3, 7.624844416671985e-05)	(4, 0.00010869459062064319)	(5, 0.0001232953565249087)	(6, 0.00012978458581569338)	(7, 0.00014438535171995887)	(8, 0.00015898611762422436)	(9, 0.00026281378627677907)	(10, 0.00038773145012438394)	(11, 0.0004526237430322306)	(12, 0.0004915591187769386)	(13, 0.0005596960263301777)	(14, 0.0006359444704968975)	(15, 0.000786819051507641)	(16, 0.000932826710550296)	(17, 0.0010901905208518243)	(18, 0.0013805835316144381)	(19, 0.001573638103015282)	(20, 0.0022809640957108107)	(21, 0.0027043863069345104)	(22, 0.003619367636935149)	(23, 0.004138505980197922)	(24, 0.005034019622326206)	(25, 0.0061534116749865616)	(26, 0.007903881276175726)	(27, 0.025142518887145197)	(28, 0.04688792624056462)	(29, 0.07180007748788696)	(30, 0.09743902241577719)	(31, 0.12178012148551047)	(32, 0.1539764326117386)	(33, 0.20882015396280523)	(34, 0.297766397544268)	(35, 0.42307017053467455)	(36, 0.6227810688805407)	(37, 0.92475410931256)	(38, 1.2613893680013053)	(39, 1.6181736836379372)	(40, 2.0033986689487557)
NeuN_minus.B40_T2_HS - polya	(1, 0.0009393159398410807)	(2, 0.001020431305975889)	(3, 0.0010561220670752048)	(4, 0.0011713058869866327)	(5, 0.0015671488737244975)	(6, 0.0024334609840442507)	(7, 0.002746566297324611)	(8, 0.0034133346069527355)	(9, 0.0037929545204636386)	(10, 0.0056391402536918765)	(11, 0.008080712774349607)	(12, 0.011090092857950998)	(13, 0.014384999030346913)	(14, 0.017887560540047937)	(15, 0.02253709332689515)	(16, 0.032152508828515336)	(17, 0.0369512938890506)	(18, 0.052129601200195934)	(19, 0.05627135179503925)	(20, 0.06119829913406751)	(21, 0.06629234412733348)	(22, 0.07070988696703513)	(23, 0.07544215742733985)	(24, 0.08082497312404574)	(25, 0.08506081754360544)	(26, 0.09373042787609374)	(27, 0.09805063227643364)	(28, 0.10577281513246739)	(29, 0.10986589650762983)	(30, 0.11473119616839562)	(31, 0.12098356859006666)	(32, 0.1255422521668429)	(33, 0.12971158198617203)	(34, 0.13455579165174278)	(35, 0.14135650394848512)	(36, 0.15590535601842434)	(37, 0.16306784284812792)	(38, 0.1699318251304554)	(39, 0.17460244791249768)	(40, 0.18095702569549857)
NeuN_minus.B41_T1_HS - nextera_transposase_sequence	(1, 3.0107553715931987e-05)	(2, 3.6798121208361316e-05)	(3, 4.3488688700790645e-05)	(4, 7.526888428982996e-05)	(5, 8.697737740158129e-05)	(6, 8.865001927468863e-05)	(7, 0.00010704907987886928)	(8, 0.0001137396473712986)	(9, 0.00017395475480316258)	(10, 0.00024420571347367055)	(11, 0.00028100383468203187)	(12, 0.0003027481790324272)	(13, 0.00033787365836768115)	(14, 0.00038303498894157916)	(15, 0.0004566312313583018)	(16, 0.0005218642644094877)	(17, 0.000563680311237171)	(18, 0.0006774199586084697)	(19, 0.0007577067685176216)	(20, 0.0011139794874894834)	(21, 0.0012695351816884653)	(22, 0.0016927135755846205)	(23, 0.0019452824984238278)	(24, 0.002460456195340886)	(25, 0.003335247894976021)	(26, 0.004375631140048782)	(27, 0.016947207458323493)	(28, 0.03250779480384101)	(29, 0.05009896938331083)	(30, 0.06778046662392843)	(31, 0.08389637107131759)	(32, 0.10547177859252907)	(33, 0.144399172905356)	(34, 0.21077294771400118)	(35, 0.3131888096043632)	(36, 0.48293185217104145)	(37, 0.7424037680205626)	(38, 1.0316537271370136)	(39, 1.3338114635882339)	(40, 1.6625274077006524)
NeuN_minus.B41_T1_HS - polya	(1, 0.0010688181569155856)	(2, 0.0011491049668247374)	(3, 0.0012109927161297088)	(4, 0.0013347682147396515)	(5, 0.0017546013248895917)	(6, 0.002458783553467779)	(7, 0.0027280788950380594)	(8, 0.003283395996909694)	(9, 0.003656395134612629)	(10, 0.005513027613761768)	(11, 0.007946721539132937)	(12, 0.010805266500273369)	(13, 0.014172294590838429)	(14, 0.017367040568473435)	(15, 0.02231638787099803)	(16, 0.03192906071574587)	(17, 0.03670612590534041)	(18, 0.05203421603049601)	(19, 0.05589801875737395)	(20, 0.06083063964116747)	(21, 0.06595226905662212)	(22, 0.07026601244736594)	(23, 0.07489755779400013)	(24, 0.08031524482099478)	(25, 0.08441321741010775)	(26, 0.09277809941751752)	(27, 0.09678407670360958)	(28, 0.10432936419319676)	(29, 0.10848086132224916)	(30, 0.11343522655039308)	(31, 0.11997358363236964)	(32, 0.12431074400933695)	(33, 0.12836522790974914)	(34, 0.13318076386242514)	(35, 0.14001016063032237)	(36, 0.15364219189614714)	(37, 0.16051507735274517)	(38, 0.16735952789750036)	(39, 0.17204961570969332)	(40, 0.17843408973934402)
NeuN_minus.B42_T3_HS - nextera_transposase_sequence	(1, 6.461423219570178e-06)	(2, 1.45382022440329e-05)	(3, 2.261498126849562e-05)	(4, 5.976816478102415e-05)	(5, 8.238314604951977e-05)	(6, 8.561385765930486e-05)	(7, 0.00010984419473269302)	(8, 0.00016153558048925443)	(9, 0.00030691760292958346)	(10, 0.0004393767789307721)	(11, 0.0005056063669313664)	(12, 0.0005589131084928204)	(13, 0.0005863741571759936)	(14, 0.0006412962545423402)	(15, 0.0007188333331771822)	(16, 0.0007640632957141735)	(17, 0.0008286775279098753)	(18, 0.00090782996234961)	(19, 0.0010095973780578403)	(20, 0.00126966966264554)	(21, 0.001376283145768448)	(22, 0.001688046816112709)	(23, 0.0018415056175775006)	(24, 0.0021435771530924066)	(25, 0.0026249531829503846)	(26, 0.0031467131079306767)	(27, 0.007567941945921571)	(28, 0.013105381645093213)	(29, 0.02002233520164309)	(30, 0.02778088913254198)	(31, 0.03460576740821298)	(32, 0.0430508475561912)	(33, 0.057001060287243215)	(34, 0.08055940934579608)	(35, 0.11515225390756992)	(36, 0.1710371033336324)	(37, 0.25857484975656425)	(38, 0.365010643740934)	(39, 0.4849895807935229)	(40, 0.6285026365675912)
NeuN_minus.B42_T3_HS - polya	(1, 0.0011969786514253755)	(2, 0.0012680543068406473)	(3, 0.0013278224716216716)	(4, 0.0014441280895739347)	(5, 0.0018237367037236827)	(6, 0.0026572602990482357)	(7, 0.0030659453176860494)	(8, 0.003729856553496885)	(9, 0.004195079025305938)	(10, 0.00646949999859464)	(11, 0.009312526215205518)	(12, 0.012746772656407068)	(13, 0.01677223932219929)	(14, 0.020839705238918715)	(15, 0.026960288383656567)	(16, 0.038621541939175844)	(17, 0.04437867002781287)	(18, 0.06249811609129254)	(19, 0.06733126065953103)	(20, 0.0733613838791949)	(21, 0.0791039737655879)	(22, 0.084303804101537)	(23, 0.08979278312656187)	(24, 0.09611690110271617)	(25, 0.10089673892939321)	(26, 0.11098463593094715)	(27, 0.11585654903850306)	(28, 0.1249703864897068)	(29, 0.1299537591478003)	(30, 0.13601457412775714)	(31, 0.14350982506245855)	(32, 0.1489761891062149)	(33, 0.15400156101523563)	(34, 0.1598071497780194)	(35, 0.167961465881117)	(36, 0.18495985501600123)	(37, 0.19322563066963638)	(38, 0.20134117823341652)	(39, 0.20687861793258816)	(40, 0.2145160201781201)
NeuN_minus.B43_T2_HS - nextera_transposase_sequence	(1, 1.7493799760020054e-05)	(2, 2.4991142514314364e-05)	(3, 4.248494227433442e-05)	(4, 9.246722730296315e-05)	(5, 0.0001024636843086889)	(6, 0.0001099610270629832)	(7, 0.0001299539410744347)	(8, 0.00013995039808016043)	(9, 0.00020242825436594635)	(10, 0.0002823999104117523)	(11, 0.0003348813096918125)	(12, 0.00035987245220612683)	(13, 0.000412353851486187)	(14, 0.0004598370222633843)	(15, 0.0005822936205835247)	(16, 0.0007222440186636851)	(17, 0.0008447006169838256)	(18, 0.0010321341858411832)	(19, 0.001197075726435658)	(20, 0.0018193551750420858)	(21, 0.0021517373704824667)	(22, 0.0030964025575235497)	(23, 0.003551241351284071)	(24, 0.004340961454736405)	(25, 0.005273131070520331)	(26, 0.006755105821619173)	(27, 0.018403477347541098)	(28, 0.03589727710756115)	(29, 0.057722041865311886)	(30, 0.08159358119498497)	(31, 0.1031559389563354)	(32, 0.1293016722548111)	(33, 0.17283624251474672)	(34, 0.24537553277679558)	(35, 0.3527624721608044)	(36, 0.5285776588632574)	(37, 0.8026355259037316)	(38, 1.1299445194137068)	(39, 1.4913639233414697)	(40, 1.9104428912782587)
NeuN_minus.B43_T2_HS - polya	(1, 0.0002549096536460065)	(2, 0.0003473768809489697)	(3, 0.00039486005172616694)	(4, 0.0006047856488464076)	(5, 0.0012120704119442467)	(6, 0.0024691248804142594)	(7, 0.0030264273584834694)	(8, 0.0043259667692278165)	(9, 0.005070702816154384)	(10, 0.008234581458466584)	(11, 0.012260654517522626)	(12, 0.017541282930797254)	(13, 0.022936870599637723)	(14, 0.028262483069438113)	(15, 0.035272498544703296)	(16, 0.049155078211404926)	(17, 0.056677412108213546)	(18, 0.07885205286116469)	(19, 0.08456752715418837)	(20, 0.09156004882969354)	(21, 0.09887745535788478)	(22, 0.10511524452945764)	(23, 0.11159294866916793)	(24, 0.11922774270729097)	(25, 0.1250181904278576)	(26, 0.1367690256380882)	(27, 0.14242452118907756)	(28, 0.15296828421586678)	(29, 0.1588362044782278)	(30, 0.16588870489576732)	(31, 0.17501047191349206)	(32, 0.18140820439715655)	(33, 0.18768847851100373)	(34, 0.19440859673310287)	(35, 0.20369530529142207)	(36, 0.22276354702984394)	(37, 0.23277999694958115)	(38, 0.24260901330046097)	(39, 0.24888678830005675)	(40, 0.2576436846370725)
NeuN_minus.B44_T1_HS - nextera_transposase_sequence	(1, 3.5457481736959205e-05)	(2, 4.2105759562639054e-05)	(3, 4.87540373883189e-05)	(4, 6.869887086535846e-05)	(5, 7.091496347391841e-05)	(6, 7.313105608247836e-05)	(7, 7.53471486910383e-05)	(8, 7.977933390815821e-05)	(9, 0.0001196690008622373)	(10, 0.00018836787172759578)	(11, 0.0002171770756388751)	(12, 0.00023268972389879478)	(13, 0.0002592828352015142)	(14, 0.0002814437612871137)	(15, 0.00032133342824119276)	(16, 0.0003457104469353522)	(17, 0.00039446448432367114)	(18, 0.000494188651708869)	(19, 0.0005673197077913473)	(20, 0.0010725888225430159)	(21, 0.0012254992125336525)	(22, 0.0018881109024930776)	(23, 0.0021473937376945917)	(24, 0.0027501709272228984)	(25, 0.00357012519239008)	(26, 0.004744654274926853)	(27, 0.015685503483387327)	(28, 0.034553315952666745)	(29, 0.05744776869169959)	(30, 0.0825295048353811)	(31, 0.10505830229400157)	(32, 0.13109739044458096)	(33, 0.17274663492985667)	(34, 0.24406271116592443)	(35, 0.346865031184412)	(36, 0.5108758290513253)	(37, 0.7709143518323585)	(38, 1.077931821822254)	(39, 1.4157352503302643)	(40, 1.8032522843261)
NeuN_minus.B44_T1_HS - polya	(1, 0.00021496098303031518)	(2, 0.0002570667425929542)	(3, 0.00032133342824119276)	(4, 0.0004587311699719097)	(5, 0.0008133059873415017)	(6, 0.001555697011209085)	(7, 0.0019280005694471568)	(8, 0.002583963981580902)	(9, 0.0029274583359076944)	(10, 0.004817785331009332)	(11, 0.007069335421306241)	(12, 0.010515359427616965)	(13, 0.013819553506979849)	(14, 0.017236768309379293)	(15, 0.022134332974296782)	(16, 0.03122696094721826)	(17, 0.035951670388668075)	(18, 0.050136879176060314)	(19, 0.054198976927550706)	(20, 0.05872867021944724)	(21, 0.06327609225221226)	(22, 0.06728943596631433)	(23, 0.07173048555386848)	(24, 0.076703397367477)	(25, 0.08022476852247876)	(26, 0.08775505120636547)	(27, 0.09154013738178586)	(28, 0.0980399370026922)	(29, 0.10155687597247684)	(30, 0.10602895085655081)	(31, 0.11170879621228998)	(32, 0.11595926183550795)	(33, 0.11973105145527699)	(34, 0.12414550793152841)	(35, 0.13016441545637725)	(36, 0.14363161023859605)	(37, 0.1501026006555911)	(38, 0.15658023935041185)	(39, 0.16091713258536366)	(40, 0.1668252354797845)
NeuN_minus.B45_T2_HS - nextera_transposase_sequence	(1, 1.320104702407194e-05)	(2, 2.0744502466398763e-05)	(3, 4.337486879337923e-05)	(4, 0.00011692355935606574)	(5, 0.00013578219796188282)	(6, 0.00014143978954362792)	(7, 0.00015841256428886328)	(8, 0.00018104293061584374)	(9, 0.0002979664899719095)	(10, 0.00039037381914041306)	(11, 0.00046392250970309957)	(12, 0.0005072973784964788)	(13, 0.00056387329431393)	(14, 0.0006223350739919628)	(15, 0.0007694324551173359)	(16, 0.0009335026109879443)	(17, 0.001069284808949827)	(18, 0.0012390125564021807)	(19, 0.001384224073666972)	(20, 0.0016953916106629534)	(21, 0.0019179235462115946)	(22, 0.0023233842762366615)	(23, 0.002557231394948793)	(24, 0.002894801025992918)	(25, 0.003402098404489397)	(26, 0.00402443347848136)	(27, 0.010868233428532369)	(28, 0.019252784152678632)	(29, 0.029096993504915136)	(30, 0.0382754929143663)	(31, 0.04586986668092883)	(32, 0.05440905824164279)	(33, 0.06906033457450206)	(34, 0.09236772602743136)	(35, 0.12758057603221296)	(36, 0.1874265797839128)	(37, 0.2831285131168526)	(38, 0.391884396092739)	(39, 0.5099621041314808)	(40, 0.6406958445385863)
NeuN_minus.B45_T2_HS - polya	(1, 0.0008674973758675846)	(2, 0.0009335026109879443)	(3, 0.0009731057520601601)	(4, 0.00105042617034401)	(5, 0.00129370260835905)	(6, 0.0017972282591343655)	(7, 0.0019518690957020654)	(8, 0.0022460638579528116)	(9, 0.0024761392489437797)	(10, 0.0036868638474372344)	(11, 0.005440717237778221)	(12, 0.007588716174980784)	(13, 0.009932844953683843)	(14, 0.012407098338767042)	(15, 0.015871430250655634)	(16, 0.02399384589818104)	(17, 0.027910785136609245)	(18, 0.0409760499627193)	(19, 0.04402360596141933)	(20, 0.04815741954381444)	(21, 0.05235158076974815)	(22, 0.055806483362333834)	(23, 0.05968759118741098)	(24, 0.06434190319532664)	(25, 0.06771194191418614)	(26, 0.07542512510396532)	(27, 0.07901769575837346)	(28, 0.08598973445094403)	(29, 0.08927679515993794)	(30, 0.09343701083638119)	(31, 0.09954343801694475)	(32, 0.10349243694100284)	(33, 0.10679835628860257)	(34, 0.11095102850960349)	(35, 0.11716117820249905)	(36, 0.1316163246938578)	(37, 0.13801128904509039)	(38, 0.14416863454988965)	(39, 0.1485438387064392)	(40, 0.15470307007509906)
NeuN_minus.B46_T2_HS - nextera_transposase_sequence	(1, 3.2593599855545164e-05)	(2, 3.8704899828459886e-05)	(3, 4.6853299792346174e-05)	(4, 6.518719971109033e-05)	(5, 7.740979965691977e-05)	(6, 7.944689964789134e-05)	(7, 0.00010592919953052179)	(8, 0.0001120404995034365)	(9, 0.00018537609917841313)	(10, 0.00022815519898881616)	(11, 0.0002648229988263045)	(12, 0.0002913052987089349)	(13, 0.0003320472985283664)	(14, 0.00036260379839293995)	(15, 0.00041353129816722926)	(16, 0.00046038459795957545)	(17, 0.0005316830976435805)	(18, 0.0006233525972373013)	(19, 0.0007027994968851927)	(20, 0.0010287354954406443)	(21, 0.0012100373946371142)	(22, 0.0016581993926508604)	(23, 0.0019433933913868804)	(24, 0.002528041088795722)	(25, 0.0032613970855454883)	(26, 0.004414395680435399)	(27, 0.017635174621840905)	(28, 0.03306009575347765)	(29, 0.05151418457168913)	(30, 0.07221519467994225)	(31, 0.09505515977871554)	(32, 0.12663020963877492)	(33, 0.1826830529903487)	(34, 0.27366808698710304)	(35, 0.39669874094183116)	(36, 0.5840243448116041)	(37, 0.8562420166051354)	(38, 1.1609453219546904)	(39, 1.4822143244308261)	(40, 1.8444331109254724)
NeuN_minus.B46_T2_HS - polya	(1, 0.0004114941981762577)	(2, 0.0004501990980047176)	(3, 0.00046038459795957545)	(4, 0.0005113120977338648)	(5, 0.0006620574970657611)	(6, 0.0010613290952961895)	(7, 0.00123040839454683)	(8, 0.001525787893237708)	(9, 0.0017009784924612633)	(10, 0.002688971988082476)	(11, 0.003974382082385539)	(12, 0.005748696174521778)	(13, 0.007618753966233682)	(14, 0.00959677805746708)	(15, 0.012483348744673798)	(16, 0.018502979217994795)	(17, 0.02154029530453341)	(18, 0.031365228560989306)	(19, 0.03364678055087747)	(20, 0.03675946933708203)	(21, 0.039802896723593564)	(22, 0.04256520431135102)	(23, 0.045516962198268826)	(24, 0.04894540148307398)	(25, 0.0514306634720593)	(26, 0.05695324154758323)	(27, 0.05961165703580114)	(28, 0.0646453311134919)	(29, 0.06729967240172785)	(30, 0.07029624648844704)	(31, 0.0745700822695054)	(32, 0.07757073055620652)	(33, 0.08028414774418066)	(34, 0.08346813503006922)	(35, 0.08806790680968303)	(36, 0.09832877946420684)	(37, 0.10294688514373941)	(38, 0.10782573962211632)	(39, 0.11098528170811323)	(40, 0.11527134008911742)
