Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
NeuN_minus.B55_T1_HS	(14.0, 3.0)	(15.0, 3.0)	(16.0, 23.0)	(17.0, 70.0)	(18.0, 212.0)	(19.0, 608.0)	(20.0, 1314.0)	(21.0, 2806.0)	(22.0, 5398.0)	(23.0, 10110.0)	(24.0, 19574.0)	(25.0, 36802.0)	(26.0, 64488.0)	(27.0, 109094.0)	(28.0, 171438.0)	(29.0, 255332.0)	(30.0, 362697.0)	(31.0, 491908.0)	(32.0, 644251.0)	(33.0, 823811.0)	(34.0, 1042222.0)	(35.0, 1316565.0)	(36.0, 1692126.0)	(37.0, 2283646.0)	(38.0, 3479044.0)	(39.0, 8159203.0)	(40.0, 36721235.0)		
NeuN_minus.B56_T1_HS	(13.0, 1.0)	(14.0, 2.0)	(15.0, 8.0)	(16.0, 26.0)	(17.0, 73.0)	(18.0, 181.0)	(19.0, 440.0)	(20.0, 1122.0)	(21.0, 2412.0)	(22.0, 4735.0)	(23.0, 9366.0)	(24.0, 18846.0)	(25.0, 35697.0)	(26.0, 65663.0)	(27.0, 111685.0)	(28.0, 180556.0)	(29.0, 272687.0)	(30.0, 389630.0)	(31.0, 533087.0)	(32.0, 700960.0)	(33.0, 903110.0)	(34.0, 1147533.0)	(35.0, 1452495.0)	(36.0, 1874229.0)	(37.0, 2539487.0)	(38.0, 3912462.0)	(39.0, 9315717.0)	(40.0, 40058660.0)	
NeuN_minus.B57_T2_HS	(13.0, 2.0)	(14.0, 7.0)	(15.0, 17.0)	(16.0, 55.0)	(17.0, 180.0)	(18.0, 614.0)	(19.0, 1968.0)	(20.0, 5794.0)	(21.0, 15734.0)	(22.0, 37129.0)	(23.0, 77912.0)	(24.0, 144543.0)	(25.0, 241879.0)	(26.0, 373060.0)	(27.0, 534444.0)	(28.0, 715479.0)	(29.0, 920600.0)	(30.0, 1141719.0)	(31.0, 1392709.0)	(32.0, 1706347.0)	(33.0, 2138765.0)	(34.0, 2819848.0)	(35.0, 4033581.0)	(36.0, 6352915.0)	(37.0, 6501229.0)	(38.0, 3634103.0)	(39.0, 5072622.0)	(40.0, 7129345.0)	
NeuN_minus.B58_T1_HS	(13.0, 2.0)	(14.0, 1.0)	(15.0, 6.0)	(16.0, 8.0)	(17.0, 54.0)	(18.0, 180.0)	(19.0, 475.0)	(20.0, 1133.0)	(21.0, 2833.0)	(22.0, 5895.0)	(23.0, 12452.0)	(24.0, 25511.0)	(25.0, 48796.0)	(26.0, 87906.0)	(27.0, 147707.0)	(28.0, 231533.0)	(29.0, 342636.0)	(30.0, 477609.0)	(31.0, 640414.0)	(32.0, 821894.0)	(33.0, 1029311.0)	(34.0, 1267389.0)	(35.0, 1554569.0)	(36.0, 1939194.0)	(37.0, 2533753.0)	(38.0, 3725027.0)	(39.0, 7945765.0)	(40.0, 28646864.0)	
NeuN_minus.B59_T1_HS	(14.0, 5.0)	(15.0, 10.0)	(16.0, 13.0)	(17.0, 25.0)	(18.0, 60.0)	(19.0, 171.0)	(20.0, 470.0)	(21.0, 1184.0)	(22.0, 3072.0)	(23.0, 7349.0)	(24.0, 17319.0)	(25.0, 36662.0)	(26.0, 72181.0)	(27.0, 130891.0)	(28.0, 217165.0)	(29.0, 334289.0)	(30.0, 483573.0)	(31.0, 662405.0)	(32.0, 873801.0)	(33.0, 1118153.0)	(34.0, 1403620.0)	(35.0, 1755007.0)	(36.0, 2229216.0)	(37.0, 2953067.0)	(38.0, 4398385.0)	(39.0, 9637032.0)	(40.0, 42906452.0)		
NeuN_minus.B60_T1_HS	(13.0, 6.0)	(14.0, 6.0)	(15.0, 6.0)	(16.0, 15.0)	(17.0, 26.0)	(18.0, 69.0)	(19.0, 225.0)	(20.0, 565.0)	(21.0, 1313.0)	(22.0, 3153.0)	(23.0, 7546.0)	(24.0, 17335.0)	(25.0, 35538.0)	(26.0, 69145.0)	(27.0, 122916.0)	(28.0, 200520.0)	(29.0, 304134.0)	(30.0, 430718.0)	(31.0, 585798.0)	(32.0, 763979.0)	(33.0, 966957.0)	(34.0, 1203267.0)	(35.0, 1502851.0)	(36.0, 1908974.0)	(37.0, 2553946.0)	(38.0, 3890729.0)	(39.0, 8880907.0)	(40.0, 40788618.0)	
NeuN_minus.B61_T1_HS	(13.0, 2.0)	(14.0, 1.0)	(15.0, 6.0)	(16.0, 2.0)	(17.0, 7.0)	(18.0, 24.0)	(19.0, 37.0)	(20.0, 126.0)	(21.0, 317.0)	(22.0, 889.0)	(23.0, 2244.0)	(24.0, 5741.0)	(25.0, 12848.0)	(26.0, 27066.0)	(27.0, 50117.0)	(28.0, 83719.0)	(29.0, 130840.0)	(30.0, 188448.0)	(31.0, 258588.0)	(32.0, 337527.0)	(33.0, 430639.0)	(34.0, 539044.0)	(35.0, 674692.0)	(36.0, 857723.0)	(37.0, 1150349.0)	(38.0, 1754924.0)	(39.0, 4137419.0)	(40.0, 21568295.0)	
NeuN_minus.B62_T1_HS	(12.0, 1.0)	(13.0, 4.0)	(14.0, 12.0)	(15.0, 16.0)	(16.0, 13.0)	(17.0, 34.0)	(18.0, 60.0)	(19.0, 165.0)	(20.0, 420.0)	(21.0, 1040.0)	(22.0, 2533.0)	(23.0, 5885.0)	(24.0, 13955.0)	(25.0, 29552.0)	(26.0, 57755.0)	(27.0, 103799.0)	(28.0, 170423.0)	(29.0, 261823.0)	(30.0, 375869.0)	(31.0, 514048.0)	(32.0, 672142.0)	(33.0, 860760.0)	(34.0, 1078494.0)	(35.0, 1350534.0)	(36.0, 1724208.0)	(37.0, 2312024.0)	(38.0, 3523845.0)	(39.0, 8124261.0)	(40.0, 35544879.0)
NeuN_minus.B63_T1_HS	(15.0, 2.0)	(16.0, 4.0)	(17.0, 18.0)	(18.0, 57.0)	(19.0, 180.0)	(20.0, 468.0)	(21.0, 1058.0)	(22.0, 2566.0)	(23.0, 5785.0)	(24.0, 13538.0)	(25.0, 27663.0)	(26.0, 54098.0)	(27.0, 94520.0)	(28.0, 154905.0)	(29.0, 235332.0)	(30.0, 333315.0)	(31.0, 449751.0)	(32.0, 584537.0)	(33.0, 733666.0)	(34.0, 908649.0)	(35.0, 1125633.0)	(36.0, 1417036.0)	(37.0, 1899410.0)	(38.0, 3009974.0)	(39.0, 6761048.0)	(40.0, 29065235.0)			
NeuN_minus.B64_T2_HS	(13.0, 3.0)	(14.0, 3.0)	(15.0, 5.0)	(16.0, 9.0)	(17.0, 23.0)	(18.0, 64.0)	(19.0, 197.0)	(20.0, 541.0)	(21.0, 1208.0)	(22.0, 2660.0)	(23.0, 6125.0)	(24.0, 13841.0)	(25.0, 28526.0)	(26.0, 54775.0)	(27.0, 97830.0)	(28.0, 159377.0)	(29.0, 241636.0)	(30.0, 345615.0)	(31.0, 467120.0)	(32.0, 609492.0)	(33.0, 773262.0)	(34.0, 965236.0)	(35.0, 1202032.0)	(36.0, 1528726.0)	(37.0, 2043164.0)	(38.0, 3123481.0)	(39.0, 7542053.0)	(40.0, 32990507.0)	
NeuN_minus.B65_T1_HS	(13.0, 1.0)	(14.0, 4.0)	(15.0, 2.0)	(16.0, 7.0)	(17.0, 39.0)	(18.0, 90.0)	(19.0, 313.0)	(20.0, 806.0)	(21.0, 1803.0)	(22.0, 3945.0)	(23.0, 8486.0)	(24.0, 18017.0)	(25.0, 35610.0)	(26.0, 65765.0)	(27.0, 114115.0)	(28.0, 182971.0)	(29.0, 273524.0)	(30.0, 384980.0)	(31.0, 517965.0)	(32.0, 667759.0)	(33.0, 837862.0)	(34.0, 1036841.0)	(35.0, 1280395.0)	(36.0, 1609457.0)	(37.0, 2142350.0)	(38.0, 3362741.0)	(39.0, 7497153.0)	(40.0, 29927237.0)	
NeuN_minus.B66_T2_HS	(12.0, 2.0)	(13.0, 3.0)	(14.0, 3.0)	(15.0, 1.0)	(16.0, 18.0)	(17.0, 38.0)	(18.0, 110.0)	(19.0, 302.0)	(20.0, 723.0)	(21.0, 1662.0)	(22.0, 3653.0)	(23.0, 7901.0)	(24.0, 17095.0)	(25.0, 34333.0)	(26.0, 65626.0)	(27.0, 115717.0)	(28.0, 186276.0)	(29.0, 282737.0)	(30.0, 398952.0)	(31.0, 539145.0)	(32.0, 701330.0)	(33.0, 885991.0)	(34.0, 1106470.0)	(35.0, 1378887.0)	(36.0, 1747063.0)	(37.0, 2331922.0)	(38.0, 3540178.0)	(39.0, 8441881.0)	(40.0, 38965770.0)
NeuN_minus.B67_T1_HS	(14.0, 1.0)	(15.0, 1.0)	(16.0, 3.0)	(17.0, 10.0)	(18.0, 39.0)	(19.0, 83.0)	(20.0, 251.0)	(21.0, 693.0)	(22.0, 1872.0)	(23.0, 5243.0)	(24.0, 13347.0)	(25.0, 30304.0)	(26.0, 63235.0)	(27.0, 117149.0)	(28.0, 197499.0)	(29.0, 304867.0)	(30.0, 438076.0)	(31.0, 595941.0)	(32.0, 773257.0)	(33.0, 973928.0)	(34.0, 1202226.0)	(35.0, 1481155.0)	(36.0, 1858462.0)	(37.0, 2453183.0)	(38.0, 3691396.0)	(39.0, 8454589.0)	(40.0, 47089408.0)		
NeuN_minus.B68_T2_HS	(15.0, 7.0)	(16.0, 2.0)	(17.0, 11.0)	(18.0, 33.0)	(19.0, 96.0)	(20.0, 303.0)	(21.0, 1067.0)	(22.0, 3102.0)	(23.0, 8940.0)	(24.0, 22274.0)	(25.0, 48318.0)	(26.0, 94218.0)	(27.0, 163527.0)	(28.0, 258276.0)	(29.0, 378156.0)	(30.0, 517022.0)	(31.0, 676136.0)	(32.0, 854873.0)	(33.0, 1059837.0)	(34.0, 1316536.0)	(35.0, 1698535.0)	(36.0, 2550105.0)	(37.0, 5123843.0)	(38.0, 6837578.0)	(39.0, 5638585.0)	(40.0, 9991225.0)			
NeuN_minus.B69_T1_HS	(12.0, 3.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 3.0)	(16.0, 2.0)	(17.0, 24.0)	(18.0, 48.0)	(19.0, 153.0)	(20.0, 513.0)	(21.0, 1788.0)	(22.0, 5449.0)	(23.0, 14727.0)	(24.0, 35993.0)	(25.0, 77467.0)	(26.0, 147899.0)	(27.0, 254212.0)	(28.0, 399467.0)	(29.0, 578496.0)	(30.0, 785761.0)	(31.0, 1019708.0)	(32.0, 1279441.0)	(33.0, 1575649.0)	(34.0, 1953072.0)	(35.0, 2513308.0)	(36.0, 3786222.0)	(37.0, 7626006.0)	(38.0, 10011185.0)	(39.0, 8267094.0)	(40.0, 14511802.0)
NeuN_minus.B70_T1_HS	(14.0, 2.0)	(15.0, 4.0)	(16.0, 4.0)	(17.0, 11.0)	(18.0, 64.0)	(19.0, 160.0)	(20.0, 586.0)	(21.0, 1788.0)	(22.0, 5223.0)	(23.0, 14535.0)	(24.0, 36132.0)	(25.0, 77584.0)	(26.0, 150421.0)	(27.0, 259467.0)	(28.0, 407254.0)	(29.0, 589451.0)	(30.0, 800438.0)	(31.0, 1039142.0)	(32.0, 1297443.0)	(33.0, 1598533.0)	(34.0, 1976631.0)	(35.0, 2537083.0)	(36.0, 3837131.0)	(37.0, 8047322.0)	(38.0, 10467815.0)	(39.0, 8415288.0)	(40.0, 15935624.0)		
NeuN_minus.B71_T1_HS	(13.0, 1.0)	(14.0, 2.0)	(15.0, 2.0)	(16.0, 12.0)	(17.0, 45.0)	(18.0, 110.0)	(19.0, 339.0)	(20.0, 812.0)	(21.0, 2096.0)	(22.0, 4213.0)	(23.0, 8766.0)	(24.0, 18463.0)	(25.0, 35740.0)	(26.0, 65765.0)	(27.0, 112797.0)	(28.0, 178279.0)	(29.0, 265095.0)	(30.0, 371194.0)	(31.0, 496924.0)	(32.0, 636878.0)	(33.0, 793922.0)	(34.0, 976795.0)	(35.0, 1197303.0)	(36.0, 1499350.0)	(37.0, 1969199.0)	(38.0, 2952034.0)	(39.0, 6918891.0)	(40.0, 31100165.0)	
NeuN_minus.B72_T1_HS	(12.0, 1.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 1.0)	(16.0, 6.0)	(17.0, 15.0)	(18.0, 48.0)	(19.0, 98.0)	(20.0, 313.0)	(21.0, 743.0)	(22.0, 1896.0)	(23.0, 4332.0)	(24.0, 10592.0)	(25.0, 22520.0)	(26.0, 44944.0)	(27.0, 82511.0)	(28.0, 136166.0)	(29.0, 209039.0)	(30.0, 297897.0)	(31.0, 404159.0)	(32.0, 525378.0)	(33.0, 662201.0)	(34.0, 820285.0)	(35.0, 1016022.0)	(36.0, 1281071.0)	(37.0, 1696456.0)	(38.0, 2539709.0)	(39.0, 5866466.0)	(40.0, 36877658.0)
NeuN_minus.B73_T1_HS	(12.0, 2.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 4.0)	(16.0, 8.0)	(17.0, 35.0)	(18.0, 96.0)	(19.0, 242.0)	(20.0, 603.0)	(21.0, 1493.0)	(22.0, 3285.0)	(23.0, 7141.0)	(24.0, 15795.0)	(25.0, 32047.0)	(26.0, 61081.0)	(27.0, 107352.0)	(28.0, 175072.0)	(29.0, 265049.0)	(30.0, 380620.0)	(31.0, 518374.0)	(32.0, 679447.0)	(33.0, 865575.0)	(34.0, 1088541.0)	(35.0, 1365696.0)	(36.0, 1739789.0)	(37.0, 2328731.0)	(38.0, 3557537.0)	(39.0, 8499844.0)	(40.0, 37156679.0)
NeuN_minus.B74_T1_HS	(12.0, 3.0)	(13.0, 1.0)	(14.0, 4.0)	(15.0, 4.0)	(16.0, 10.0)	(17.0, 33.0)	(18.0, 103.0)	(19.0, 215.0)	(20.0, 524.0)	(21.0, 1264.0)	(22.0, 2963.0)	(23.0, 6762.0)	(24.0, 15058.0)	(25.0, 32300.0)	(26.0, 62802.0)	(27.0, 112096.0)	(28.0, 183485.0)	(29.0, 277293.0)	(30.0, 394091.0)	(31.0, 532453.0)	(32.0, 689114.0)	(33.0, 870281.0)	(34.0, 1080544.0)	(35.0, 1344224.0)	(36.0, 1698362.0)	(37.0, 2268416.0)	(38.0, 3470437.0)	(39.0, 8370475.0)	(40.0, 40068219.0)
NeuN_plus.B21_T2_HS	(12.0, 1.0)	(13.0, 1.0)	(14.0, 0.0)	(15.0, 3.0)	(16.0, 11.0)	(17.0, 36.0)	(18.0, 76.0)	(19.0, 213.0)	(20.0, 499.0)	(21.0, 1123.0)	(22.0, 2197.0)	(23.0, 4745.0)	(24.0, 10183.0)	(25.0, 21337.0)	(26.0, 42383.0)	(27.0, 77529.0)	(28.0, 130736.0)	(29.0, 204439.0)	(30.0, 297797.0)	(31.0, 410752.0)	(32.0, 543000.0)	(33.0, 698529.0)	(34.0, 882841.0)	(35.0, 1117899.0)	(36.0, 1448671.0)	(37.0, 2003595.0)	(38.0, 3319269.0)	(39.0, 8034245.0)	(40.0, 51157861.0)
NeuN_plus.B22_T2_HS	(12.0, 2.0)	(13.0, 2.0)	(14.0, 3.0)	(15.0, 3.0)	(16.0, 14.0)	(17.0, 48.0)	(18.0, 135.0)	(19.0, 348.0)	(20.0, 800.0)	(21.0, 1690.0)	(22.0, 3400.0)	(23.0, 6458.0)	(24.0, 12632.0)	(25.0, 24319.0)	(26.0, 44156.0)	(27.0, 77276.0)	(28.0, 125329.0)	(29.0, 192649.0)	(30.0, 279861.0)	(31.0, 390974.0)	(32.0, 526892.0)	(33.0, 691627.0)	(34.0, 893836.0)	(35.0, 1156260.0)	(36.0, 1524090.0)	(37.0, 2123316.0)	(38.0, 3384581.0)	(39.0, 8466209.0)	(40.0, 36226638.0)
NeuN_plus.B25_T3_HS	(12.0, 1.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 5.0)	(16.0, 12.0)	(17.0, 50.0)	(18.0, 133.0)	(19.0, 348.0)	(20.0, 747.0)	(21.0, 1707.0)	(22.0, 3466.0)	(23.0, 7215.0)	(24.0, 15653.0)	(25.0, 31948.0)	(26.0, 61658.0)	(27.0, 109553.0)	(28.0, 181865.0)	(29.0, 278459.0)	(30.0, 403337.0)	(31.0, 552857.0)	(32.0, 733326.0)	(33.0, 944618.0)	(34.0, 1198650.0)	(35.0, 1521400.0)	(36.0, 1974756.0)	(37.0, 2700807.0)	(38.0, 4237637.0)	(39.0, 10134060.0)	(40.0, 59075904.0)
NeuN_plus.B27_T1_HS	(13.0, 3.0)	(14.0, 2.0)	(15.0, 1.0)	(16.0, 6.0)	(17.0, 26.0)	(18.0, 63.0)	(19.0, 174.0)	(20.0, 495.0)	(21.0, 1150.0)	(22.0, 2746.0)	(23.0, 6311.0)	(24.0, 14774.0)	(25.0, 32097.0)	(26.0, 64328.0)	(27.0, 118231.0)	(28.0, 198118.0)	(29.0, 308076.0)	(30.0, 447813.0)	(31.0, 616621.0)	(32.0, 813390.0)	(33.0, 1040217.0)	(34.0, 1301132.0)	(35.0, 1623914.0)	(36.0, 2054194.0)	(37.0, 2726415.0)	(38.0, 4105057.0)	(39.0, 9354431.0)	(40.0, 42323575.0)	
NeuN_plus.B28_T3_HS	(16.0, 2.0)	(17.0, 3.0)	(18.0, 17.0)	(19.0, 64.0)	(20.0, 192.0)	(21.0, 721.0)	(22.0, 2132.0)	(23.0, 5426.0)	(24.0, 13757.0)	(25.0, 29880.0)	(26.0, 59623.0)	(27.0, 107679.0)	(28.0, 178819.0)	(29.0, 274077.0)	(30.0, 392909.0)	(31.0, 536475.0)	(32.0, 696438.0)	(33.0, 877768.0)	(34.0, 1076020.0)	(35.0, 1307860.0)	(36.0, 1601916.0)	(37.0, 2036521.0)	(38.0, 2895357.0)	(39.0, 5680622.0)	(40.0, 15249632.0)				
NeuN_plus.B30_T1_HS	(15.0, 3.0)	(16.0, 8.0)	(17.0, 30.0)	(18.0, 80.0)	(19.0, 198.0)	(20.0, 552.0)	(21.0, 1179.0)	(22.0, 2352.0)	(23.0, 4825.0)	(24.0, 10302.0)	(25.0, 20755.0)	(26.0, 39475.0)	(27.0, 70354.0)	(28.0, 117088.0)	(29.0, 181764.0)	(30.0, 265694.0)	(31.0, 371673.0)	(32.0, 498406.0)	(33.0, 650685.0)	(34.0, 834942.0)	(35.0, 1073781.0)	(36.0, 1398860.0)	(37.0, 1918820.0)	(38.0, 2991024.0)	(39.0, 7228603.0)	(40.0, 40185063.0)			
NeuN_plus.B31_T1_HS	(13.0, 2.0)	(14.0, 6.0)	(15.0, 3.0)	(16.0, 12.0)	(17.0, 16.0)	(18.0, 48.0)	(19.0, 138.0)	(20.0, 381.0)	(21.0, 1012.0)	(22.0, 2742.0)	(23.0, 6730.0)	(24.0, 16057.0)	(25.0, 33863.0)	(26.0, 67189.0)	(27.0, 120618.0)	(28.0, 198698.0)	(29.0, 307772.0)	(30.0, 442385.0)	(31.0, 606333.0)	(32.0, 796725.0)	(33.0, 1015042.0)	(34.0, 1268468.0)	(35.0, 1580014.0)	(36.0, 1993010.0)	(37.0, 2629437.0)	(38.0, 3909500.0)	(39.0, 8611437.0)	(40.0, 32631446.0)	
NeuN_plus.B32_T3_HS	(13.0, 1.0)	(14.0, 2.0)	(15.0, 11.0)	(16.0, 27.0)	(17.0, 116.0)	(18.0, 440.0)	(19.0, 1346.0)	(20.0, 4272.0)	(21.0, 12078.0)	(22.0, 29528.0)	(23.0, 64101.0)	(24.0, 124317.0)	(25.0, 214270.0)	(26.0, 338593.0)	(27.0, 493280.0)	(28.0, 672322.0)	(29.0, 876729.0)	(30.0, 1097419.0)	(31.0, 1349137.0)	(32.0, 1655486.0)	(33.0, 2083542.0)	(34.0, 2760152.0)	(35.0, 4045290.0)	(36.0, 6731570.0)	(37.0, 7342593.0)	(38.0, 4002023.0)	(39.0, 5314721.0)	(40.0, 8524366.0)	
NeuN_plus.B33_T1_HS	(12.0, 1.0)	(13.0, 2.0)	(14.0, 1.0)	(15.0, 4.0)	(16.0, 16.0)	(17.0, 38.0)	(18.0, 118.0)	(19.0, 353.0)	(20.0, 905.0)	(21.0, 2199.0)	(22.0, 5167.0)	(23.0, 11158.0)	(24.0, 23653.0)	(25.0, 45681.0)	(26.0, 84087.0)	(27.0, 144204.0)	(28.0, 230515.0)	(29.0, 346887.0)	(30.0, 491688.0)	(31.0, 667267.0)	(32.0, 871985.0)	(33.0, 1105198.0)	(34.0, 1375440.0)	(35.0, 1704647.0)	(36.0, 2134222.0)	(37.0, 2791689.0)	(38.0, 4088037.0)	(39.0, 8833898.0)	(40.0, 25429017.0)
NeuN_plus.B34_T4_HS	(13.0, 5.0)	(14.0, 4.0)	(15.0, 4.0)	(16.0, 9.0)	(17.0, 49.0)	(18.0, 111.0)	(19.0, 264.0)	(20.0, 635.0)	(21.0, 1236.0)	(22.0, 2555.0)	(23.0, 5256.0)	(24.0, 10848.0)	(25.0, 21019.0)	(26.0, 39703.0)	(27.0, 70547.0)	(28.0, 116787.0)	(29.0, 180236.0)	(30.0, 261563.0)	(31.0, 365219.0)	(32.0, 487956.0)	(33.0, 638667.0)	(34.0, 821995.0)	(35.0, 1052899.0)	(36.0, 1374513.0)	(37.0, 1885893.0)	(38.0, 2950977.0)	(39.0, 7162051.0)	(40.0, 35701312.0)	
NeuN_plus.B35_T3_HS	(15.0, 3.0)	(16.0, 6.0)	(17.0, 29.0)	(18.0, 57.0)	(19.0, 154.0)	(20.0, 415.0)	(21.0, 884.0)	(22.0, 1844.0)	(23.0, 4164.0)	(24.0, 9184.0)	(25.0, 18798.0)	(26.0, 37322.0)	(27.0, 66697.0)	(28.0, 111879.0)	(29.0, 173170.0)	(30.0, 251314.0)	(31.0, 346118.0)	(32.0, 458206.0)	(33.0, 591931.0)	(34.0, 752829.0)	(35.0, 953165.0)	(36.0, 1228803.0)	(37.0, 1665683.0)	(38.0, 2547856.0)	(39.0, 6081503.0)	(40.0, 33753763.0)			
NeuN_plus.B36_T3_HS	(12.0, 1.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 1.0)	(16.0, 3.0)	(17.0, 9.0)	(18.0, 18.0)	(19.0, 42.0)	(20.0, 108.0)	(21.0, 313.0)	(22.0, 830.0)	(23.0, 2199.0)	(24.0, 5837.0)	(25.0, 13633.0)	(26.0, 27989.0)	(27.0, 52943.0)	(28.0, 89825.0)	(29.0, 139834.0)	(30.0, 202739.0)	(31.0, 276532.0)	(32.0, 362390.0)	(33.0, 460009.0)	(34.0, 575534.0)	(35.0, 718288.0)	(36.0, 918616.0)	(37.0, 1245417.0)	(38.0, 1953212.0)	(39.0, 4629416.0)	(40.0, 29119060.0)
NeuN_plus.B37_T1_HS	(12.0, 1.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 3.0)	(16.0, 4.0)	(17.0, 16.0)	(18.0, 45.0)	(19.0, 115.0)	(20.0, 312.0)	(21.0, 887.0)	(22.0, 2354.0)	(23.0, 5997.0)	(24.0, 14597.0)	(25.0, 31368.0)	(26.0, 63115.0)	(27.0, 116740.0)	(28.0, 195276.0)	(29.0, 303353.0)	(30.0, 439793.0)	(31.0, 602803.0)	(32.0, 789868.0)	(33.0, 1002628.0)	(34.0, 1241601.0)	(35.0, 1531832.0)	(36.0, 1912297.0)	(37.0, 2496470.0)	(38.0, 3649669.0)	(39.0, 7859478.0)	(40.0, 36338816.0)
NeuN_plus.B38_T1_HS	(13.0, 2.0)	(14.0, 3.0)	(15.0, 5.0)	(16.0, 7.0)	(17.0, 19.0)	(18.0, 47.0)	(19.0, 142.0)	(20.0, 359.0)	(21.0, 951.0)	(22.0, 2473.0)	(23.0, 6139.0)	(24.0, 14717.0)	(25.0, 31707.0)	(26.0, 64028.0)	(27.0, 117083.0)	(28.0, 194913.0)	(29.0, 302257.0)	(30.0, 437268.0)	(31.0, 597101.0)	(32.0, 782777.0)	(33.0, 990279.0)	(34.0, 1230817.0)	(35.0, 1520838.0)	(36.0, 1901959.0)	(37.0, 2487011.0)	(38.0, 3654945.0)	(39.0, 7938023.0)	(40.0, 35203153.0)	
NeuN_plus.B39_T1_HS	(13.0, 3.0)	(14.0, 1.0)	(15.0, 3.0)	(16.0, 7.0)	(17.0, 30.0)	(18.0, 83.0)	(19.0, 195.0)	(20.0, 503.0)	(21.0, 1262.0)	(22.0, 2902.0)	(23.0, 6253.0)	(24.0, 13878.0)	(25.0, 28641.0)	(26.0, 55147.0)	(27.0, 97673.0)	(28.0, 160150.0)	(29.0, 245046.0)	(30.0, 354580.0)	(31.0, 487450.0)	(32.0, 643029.0)	(33.0, 826195.0)	(34.0, 1040962.0)	(35.0, 1306335.0)	(36.0, 1654715.0)	(37.0, 2194242.0)	(38.0, 3250909.0)	(39.0, 7124549.0)	(40.0, 29708001.0)	
NeuN_plus.B40_T2_HS	(13.0, 1.0)	(14.0, 3.0)	(15.0, 3.0)	(16.0, 7.0)	(17.0, 25.0)	(18.0, 99.0)	(19.0, 300.0)	(20.0, 816.0)	(21.0, 1860.0)	(22.0, 4346.0)	(23.0, 9558.0)	(24.0, 21702.0)	(25.0, 45044.0)	(26.0, 86994.0)	(27.0, 154300.0)	(28.0, 251652.0)	(29.0, 382644.0)	(30.0, 547248.0)	(31.0, 745397.0)	(32.0, 973940.0)	(33.0, 1238757.0)	(34.0, 1555326.0)	(35.0, 1944258.0)	(36.0, 2468227.0)	(37.0, 3292450.0)	(38.0, 4964156.0)	(39.0, 11559802.0)	(40.0, 60685152.0)	
NeuN_plus.B41_T1_HS	(12.0, 2.0)	(13.0, 3.0)	(14.0, 4.0)	(15.0, 5.0)	(16.0, 12.0)	(17.0, 41.0)	(18.0, 107.0)	(19.0, 257.0)	(20.0, 662.0)	(21.0, 1475.0)	(22.0, 3303.0)	(23.0, 7203.0)	(24.0, 15904.0)	(25.0, 32299.0)	(26.0, 61581.0)	(27.0, 108668.0)	(28.0, 179376.0)	(29.0, 276054.0)	(30.0, 399396.0)	(31.0, 552753.0)	(32.0, 731884.0)	(33.0, 942917.0)	(34.0, 1192434.0)	(35.0, 1500222.0)	(36.0, 1910811.0)	(37.0, 2531026.0)	(38.0, 3762850.0)	(39.0, 8270305.0)	(40.0, 35579996.0)
NeuN_plus.B45_T2_HS	(12.0, 2.0)	(13.0, 2.0)	(14.0, 4.0)	(15.0, 5.0)	(16.0, 14.0)	(17.0, 40.0)	(18.0, 173.0)	(19.0, 369.0)	(20.0, 883.0)	(21.0, 1816.0)	(22.0, 3534.0)	(23.0, 7005.0)	(24.0, 13840.0)	(25.0, 26423.0)	(26.0, 48741.0)	(27.0, 83907.0)	(28.0, 135078.0)	(29.0, 204967.0)	(30.0, 296377.0)	(31.0, 407822.0)	(32.0, 541234.0)	(33.0, 699533.0)	(34.0, 895276.0)	(35.0, 1145838.0)	(36.0, 1504327.0)	(37.0, 2107970.0)	(38.0, 3463016.0)	(39.0, 8460909.0)	(40.0, 33467151.0)
NeuN_plus.B46_T2_HS	(13.0, 1.0)	(14.0, 5.0)	(15.0, 10.0)	(16.0, 7.0)	(17.0, 32.0)	(18.0, 88.0)	(19.0, 237.0)	(20.0, 538.0)	(21.0, 1467.0)	(22.0, 3331.0)	(23.0, 7807.0)	(24.0, 17407.0)	(25.0, 36044.0)	(26.0, 69185.0)	(27.0, 122189.0)	(28.0, 197970.0)	(29.0, 300886.0)	(30.0, 430763.0)	(31.0, 585049.0)	(32.0, 761218.0)	(33.0, 964859.0)	(34.0, 1205783.0)	(35.0, 1491654.0)	(36.0, 1871254.0)	(37.0, 2463431.0)	(38.0, 3625402.0)	(39.0, 7773395.0)	(40.0, 31837995.0)	
