Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NeuN_plus.B27_T1_HS	(1.0, 50.54713054764506)	(2.0, 19.01894728499448)	(3.0, 7.563566516465717)	(4.0, 3.8757890202306537)	(5.0, 2.4231782576950875)	(6.0, 1.625499035598175)	(7.0, 1.2130080784993613)	(8.0, 0.9297600285576388)	(9.0, 0.6812522816474926)	('>10', 4.421440079488638)	('>50', 0.6505002300356068)	('>100', 2.9790804075506028)	('>500', 1.859437928342785)	('>1k', 2.195645015032797)	('>5k', 0.0157652882159413)	('>10k+', 0.0)
NeuN_plus.B28_T3_HS	(1.0, 58.27304049190944)	(2.0, 15.32298939286517)	(3.0, 4.568849189828763)	(4.0, 1.9028506114815114)	(5.0, 0.9003587594199555)	(6.0, 0.5091949774557499)	(7.0, 0.3106250455883549)	(8.0, 0.22093231446060352)	(9.0, 0.15398991956349367)	('>10', 1.6893438966605112)	('>50', 1.1036447826911309)	('>100', 5.793604645261418)	('>500', 3.983125714802184)	('>1k', 5.215342357803069)	('>5k', 0.05210790020863649)	('>10k+', 0.0)
NeuN_plus.B30_T1_HS	(1.0, 60.778518459678864)	(2.0, 13.706367343469813)	(3.0, 4.06202724140256)	(4.0, 1.7237323234896202)	(5.0, 0.9703862873764452)	(6.0, 0.6512649605087154)	(7.0, 0.46115185089295324)	(8.0, 0.36984259394534)	(9.0, 0.31453791537697695)	('>10', 2.3091901018864864)	('>50', 0.6848352895931015)	('>100', 3.4635415152330506)	('>500', 3.1154394940114982)	('>1k', 6.86043358220937)	('>5k', 0.5287310409250601)	('>10k+', 0.0)
NeuN_plus.B31_T1_HS	(1.0, 61.48908294720695)	(2.0, 14.97664046644772)	(3.0, 4.729324564822809)	(4.0, 2.260933789589182)	(5.0, 1.3052415038679446)	(6.0, 0.9827326726601575)	(7.0, 0.6769242732745496)	(8.0, 0.5293435875947706)	(9.0, 0.4152022016793604)	('>10', 2.8245858164209983)	('>50', 0.6198951593160716)	('>100', 3.2399671529249803)	('>500', 2.446990135437267)	('>1k', 3.491810928642826)	('>5k', 0.01132480011417881)	('>10k+', 0.0)
NeuN_plus.B32_T3_HS	(1.0, 83.35885230503172)	(2.0, 5.8490411990269475)	(3.0, 1.8930773713000866)	(4.0, 0.9874160443460187)	(5.0, 0.6425520223119726)	(6.0, 0.4173134236762013)	(7.0, 0.2933185714886008)	(8.0, 0.24123143414664558)	(9.0, 0.19695088896518465)	('>10', 1.5292681457857003)	('>50', 0.425475315874189)	('>100', 1.9550282911531793)	('>500', 1.1045077837774213)	('>1k', 1.1059672031160526)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_plus.B33_T1_HS	(1.0, 68.37889556762482)	(2.0, 13.157725193927103)	(3.0, 2.9203558348002208)	(4.0, 0.9383385489658747)	(5.0, 0.4455954129469338)	(6.0, 0.2816287888851956)	(7.0, 0.17596878435103572)	(8.0, 0.1439554194000945)	(9.0, 0.1213545259052594)	('>10', 1.2434372979271386)	('>50', 0.7178555339080923)	('>100', 3.799423853405693)	('>500', 2.853433568017241)	('>1k', 4.685564079080196)	('>5k', 0.13646759085488674)	('>10k+', 0.0)
NeuN_plus.B34_T4_HS	(1.0, 56.747520369870294)	(2.0, 9.736196658370808)	(3.0, 2.4842678331723302)	(4.0, 1.031989433149192)	(5.0, 0.5467505730541525)	(6.0, 0.3581308849701722)	(7.0, 0.2515580966961687)	(8.0, 0.16844764014801886)	(9.0, 0.14162950592489637)	('>10', 1.245371655551855)	('>50', 0.6315998907086916)	('>100', 3.7970339823717154)	('>500', 4.011094014698754)	('>1k', 14.52863088853706)	('>5k', 3.4784663485554623)	('>10k+', 0.8413122242201266)
NeuN_plus.B35_T3_HS	(1.0, 60.135941437763364)	(2.0, 12.674136376384123)	(3.0, 3.825620248548942)	(4.0, 1.7507160753525806)	(5.0, 0.9898252976873285)	(6.0, 0.6452682282915998)	(7.0, 0.45846627387919325)	(8.0, 0.3238403940321932)	(9.0, 0.2234105302910827)	('>10', 1.7139397902485438)	('>50', 0.6647447612441575)	('>100', 4.226080237684151)	('>500', 3.605071617084464)	('>1k', 7.898507058688935)	('>5k', 0.8414220773537758)	('>10k+', 0.023009595465610433)
NeuN_plus.B36_T3_HS	(1.0, 59.69116981436399)	(2.0, 15.34509504444693)	(3.0, 5.907453577474028)	(4.0, 2.9604824880503613)	(5.0, 1.909242669882089)	(6.0, 1.2470788439287976)	(7.0, 0.8001798237650493)	(8.0, 0.5693927823696138)	(9.0, 0.43610017094983966)	('>10', 2.538504536333275)	('>50', 0.7946392947050454)	('>100', 3.6906165137973055)	('>500', 2.1844831872217827)	('>1k', 1.925561252711641)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_plus.B37_T1_HS	(1.0, 31.828807138471753)	(2.0, 22.623210980856662)	(3.0, 13.259020983236116)	(4.0, 7.936205585742218)	(5.0, 5.051562980762852)	(6.0, 3.6322401691400863)	(7.0, 2.5987046046267253)	(8.0, 1.9629016865543545)	(9.0, 1.477188937040279)	('>10', 5.86866157047541)	('>50', 0.4911508535665448)	('>100', 2.046409670296782)	('>500', 0.8549434985830551)	('>1k', 0.36899134064719197)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_plus.B38_T1_HS	(1.0, 33.6072745956824)	(2.0, 23.257304790475033)	(3.0, 13.279612000927063)	(4.0, 7.399835525714943)	(5.0, 4.670046837504569)	(6.0, 3.248397472710147)	(7.0, 2.2282689976688785)	(8.0, 1.693010569547298)	(9.0, 1.1974728104338428)	('>10', 4.847051024389777)	('>50', 0.6068166015717444)	('>100', 2.366550250249438)	('>500', 1.0715927484067231)	('>1k', 0.5267657747181813)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_plus.B39_T1_HS	(1.0, 67.79921078023212)	(2.0, 13.138548097566947)	(3.0, 2.618867988518027)	(4.0, 0.7686916739085278)	(5.0, 0.29547476343905527)	(6.0, 0.2227876226034443)	(7.0, 0.12838529463587908)	(8.0, 0.11070243075585143)	(9.0, 0.07889231360614612)	('>10', 1.1996985115515286)	('>50', 0.7497279969483237)	('>100', 4.181065231207966)	('>500', 3.2262070838866648)	('>1k', 5.3210590057070455)	('>5k', 0.1606812054323673)	('>10k+', 0.0)
NeuN_plus.B40_T2_HS	(1.0, 65.38049091466632)	(2.0, 14.953351036965667)	(3.0, 3.972513943807341)	(4.0, 1.4040766408787135)	(5.0, 0.7268748234754215)	(6.0, 0.42450095970948765)	(7.0, 0.24257861942291098)	(8.0, 0.18228150163293863)	(9.0, 0.16703027338577753)	('>10', 1.5852947662771357)	('>50', 0.7631171718931454)	('>100', 2.823306430210716)	('>500', 2.223784336280264)	('>1k', 4.662973466342734)	('>5k', 0.4762483339727919)	('>10k+', 0.01157678107857522)
NeuN_plus.B41_T1_HS	(1.0, 58.29734707792004)	(2.0, 11.331883345819065)	(3.0, 2.3348251770042343)	(4.0, 0.7675144789686341)	(5.0, 0.3727180353175756)	(6.0, 0.22979750518042574)	(7.0, 0.16806966747680172)	(8.0, 0.1385031759681568)	(9.0, 0.10632367105526577)	('>10', 1.674346765984059)	('>50', 0.840408898397842)	('>100', 3.971335934286694)	('>500', 4.033432257770507)	('>1k', 12.592809079557027)	('>5k', 2.6156564816079824)	('>10k+', 0.5250284476859649)
NeuN_plus.B45_T2_HS	(1.0, 49.95758206661819)	(2.0, 10.076734227372656)	(3.0, 3.068500423093378)	(4.0, 1.298860865136578)	(5.0, 0.7274837451280016)	(6.0, 0.47574122519125717)	(7.0, 0.3113255730545225)	(8.0, 0.22832719652278824)	(9.0, 0.17555271075272727)	('>10', 1.6300854849063597)	('>50', 0.7603734309460463)	('>100', 4.268281378903876)	('>500', 4.531552392691716)	('>1k', 16.749069996710155)	('>5k', 4.455078980630758)	('>10k+', 1.2854503023406243)
NeuN_plus.B46_T2_HS	(1.0, 64.37000821321125)	(2.0, 13.578363076319667)	(3.0, 3.9877254529706363)	(4.0, 1.7771446357966796)	(5.0, 1.0396779644951326)	(6.0, 0.6716747682398547)	(7.0, 0.48051805789290053)	(8.0, 0.34506355821113993)	(9.0, 0.26928492218631683)	('>10', 1.791666161632456)	('>50', 0.6425704057604814)	('>100', 3.7570236339453604)	('>500', 2.7424762990635956)	('>1k', 4.376574641075754)	('>5k', 0.17022820919889767)	('>10k+', 0.0)
NeuN_plus.B47_T2_HS	(1.0, 57.238123297618614)	(2.0, 16.402474944212226)	(3.0, 5.489808775700912)	(4.0, 2.3317100348662776)	(5.0, 1.304869294152475)	(6.0, 0.720897591278331)	(7.0, 0.49156126829884755)	(8.0, 0.3755091594558237)	(9.0, 0.2443365450438845)	('>10', 1.6175665408426985)	('>50', 0.5265402009119226)	('>100', 2.9890738011179705)	('>500', 2.759230418811788)	('>1k', 6.758272225888322)	('>5k', 0.7323830154000243)	('>10k+', 0.01764288640017055)
NeuN_plus.B50_T1_HS	(1.0, 53.82305333346199)	(2.0, 18.06513348939527)	(3.0, 6.663954411343767)	(4.0, 2.958569413498222)	(5.0, 1.7032515400965595)	(6.0, 1.0701394033633973)	(7.0, 0.7521022024367705)	(8.0, 0.5314334771102093)	(9.0, 0.3750724240727432)	('>10', 1.9485774427364086)	('>50', 0.4961927192925511)	('>100', 2.589528867248842)	('>500', 2.4614054918733523)	('>1k', 5.871329732643553)	('>5k', 0.6529695325107322)	('>10k+', 0.0372865189158077)
NeuN_plus.B51_T1_HS	(1.0, 42.45964732854188)	(2.0, 16.722665228651305)	(3.0, 8.603192147067187)	(4.0, 5.167704219250198)	(5.0, 3.6653869844410476)	(6.0, 2.6010113424561654)	(7.0, 1.9851512888434568)	(8.0, 1.6075727798826354)	(9.0, 1.2053302704874547)	('>10', 6.697134536846601)	('>50', 0.4915901542805248)	('>100', 2.679066288465217)	('>500', 2.1083795730094548)	('>1k', 3.853484806432511)	('>5k', 0.15268305134439797)	('>10k+', 0.0)
NeuN_plus.B52_T1_HS	(1.0, 59.76422898200981)	(2.0, 9.041265741207795)	(3.0, 1.9472308354411474)	(4.0, 0.7514385069556585)	(5.0, 0.37476742827721843)	(6.0, 0.2536445156014414)	(7.0, 0.17977100204760757)	(8.0, 0.139931449138313)	(9.0, 0.13087170945175855)	('>10', 1.4327418696894112)	('>50', 0.6338041325759023)	('>100', 2.922051392812582)	('>500', 3.0030608429693966)	('>1k', 13.144936545977611)	('>5k', 4.508434119110297)	('>10k+', 1.7718209267338845)
NeuN_plus.B53_T1_HS	(1.0, 66.38100590207591)	(2.0, 11.632585035072683)	(3.0, 2.8330590340253448)	(4.0, 1.1729609712664981)	(5.0, 0.5721804049961959)	(6.0, 0.37837987519390054)	(7.0, 0.26666099674402105)	(8.0, 0.19460253473123174)	(9.0, 0.16230404111876495)	('>10', 1.3677378919850351)	('>50', 0.6770610546872583)	('>100', 3.3172518740273516)	('>500', 2.9888605925453766)	('>1k', 7.208827175011007)	('>5k', 0.8465226165193858)	('>10k+', 0.0)
NeuN_plus.B54_T1_HS	(1.0, 58.25929012448155)	(2.0, 11.828201802297391)	(3.0, 3.222337370474049)	(4.0, 1.4616889956318628)	(5.0, 0.7740124697160037)	(6.0, 0.4979919543044453)	(7.0, 0.328753711749535)	(8.0, 0.27536142205710873)	(9.0, 0.252697095936919)	('>10', 1.9001176109879017)	('>50', 0.7117269505728148)	('>100', 3.3764982181647514)	('>500', 3.508205281470385)	('>1k', 11.147047783389421)	('>5k', 2.105028928977791)	('>10k+', 0.3510402797880682)
NeuN_plus.B55_T1_HS	(1.0, 66.84738176706429)	(2.0, 13.772728487833422)	(3.0, 4.055397212812152)	(4.0, 1.858934956299855)	(5.0, 0.9918858093461168)	(6.0, 0.6403535536521979)	(7.0, 0.37492364170965903)	(8.0, 0.29519539509737913)	(9.0, 0.22883966546138032)	('>10', 1.586902038084454)	('>50', 0.6098164093064057)	('>100', 3.133702268582371)	('>500', 2.196184440609197)	('>1k', 3.282612018458267)	('>5k', 0.1251423356828202)	('>10k+', 0.0)
NeuN_plus.B56_T1_HS	(1.0, 61.36861310491288)	(2.0, 13.715316581147055)	(3.0, 4.59196245154684)	(4.0, 2.236858262956205)	(5.0, 1.3501253465712244)	(6.0, 0.8533179947802059)	(7.0, 0.5826819099435762)	(8.0, 0.4181258099657959)	(9.0, 0.36093304034867246)	('>10', 2.1538798571018476)	('>50', 0.6540584205195139)	('>100', 3.724317958380061)	('>500', 2.8385865493034648)	('>1k', 4.826103727849998)	('>5k', 0.2656085305306923)	('>10k+', 0.0595104541421285)
NeuN_plus.B57_T2_HS	(1.0, 71.99605828734829)	(2.0, 8.639449008679918)	(3.0, 4.00264392952924)	(4.0, 2.4836363951749814)	(5.0, 1.6078404962682227)	(6.0, 1.1990381807272272)	(7.0, 0.8835013274924157)	(8.0, 0.7119804365049246)	(9.0, 0.5649335081044644)	('>10', 3.900622616248243)	('>50', 0.4030227730152721)	('>100', 1.5264939120256154)	('>500', 1.0367340463634496)	('>1k', 1.0440450825179308)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_plus.B58_T1_HS	(1.0, 50.39028772427662)	(2.0, 16.478180949847562)	(3.0, 7.2337860131503975)	(4.0, 4.162804820112944)	(5.0, 2.665654188814032)	(6.0, 1.974033865739816)	(7.0, 1.4362262944583661)	(8.0, 1.135969122792786)	(9.0, 0.8429771174177784)	('>10', 5.088159999511756)	('>50', 0.5737103513144669)	('>100', 2.939756140653134)	('>500', 2.100042607184652)	('>1k', 2.887030408543744)	('>5k', 0.07520384082892391)	('>10k+', 0.016176555352842695)
NeuN_plus.B60_T1_HS	(1.0, 57.245536296039056)	(2.0, 16.561067506904152)	(3.0, 6.060075006826054)	(4.0, 3.08058296423623)	(5.0, 1.877944133615634)	(6.0, 1.3190811064206236)	(7.0, 0.9291531975496312)	(8.0, 0.6823159295395458)	(9.0, 0.5613921292902697)	('>10', 3.3284149904776483)	('>50', 0.5365142577334433)	('>100', 2.5699519282113967)	('>500', 1.9668407248024409)	('>1k', 3.116436356771311)	('>5k', 0.16469347158221587)	('>10k+', 0.0)
NeuN_plus.B61_T1_HS	(1.0, 55.20883199817078)	(2.0, 15.409445687145382)	(3.0, 4.381400485386024)	(4.0, 1.7211261987406468)	(5.0, 0.8322400514553192)	(6.0, 0.4936585652132257)	(7.0, 0.3575420235988525)	(8.0, 0.23091162913839292)	(9.0, 0.2071469921602051)	('>10', 1.51381255268495)	('>50', 0.6169635230726727)	('>100', 3.931378999704243)	('>500', 3.677170818550693)	('>1k', 9.711884155789585)	('>5k', 1.418055338264001)	('>10k+', 0.28843098092482283)
NeuN_plus.B62_T1_HS	(1.0, 46.521204550524786)	(2.0, 14.598295270395623)	(3.0, 5.537426733465684)	(4.0, 2.7793861366788764)	(5.0, 1.7529989324869928)	(6.0, 1.079808594299579)	(7.0, 0.7797508408999019)	(8.0, 0.6026073691554943)	(9.0, 0.42687177569992335)	('>10', 3.046454437221537)	('>50', 0.694859063154259)	('>100', 3.5893266121835388)	('>500', 3.6409764646300977)	('>1k', 11.590869781402622)	('>5k', 2.6058898938875945)	('>10k+', 0.753273543913624)
NeuN_plus.B65_T1_HS	(1.0, 69.09956605010983)	(2.0, 10.09678074390394)	(3.0, 2.143262502691931)	(4.0, 0.7568446990123369)	(5.0, 0.4184139803274782)	(6.0, 0.28136198483403324)	(7.0, 0.19113976062031884)	(8.0, 0.16174606388993823)	(9.0, 0.12396963359225367)	('>10', 1.4575198383873351)	('>50', 0.6982840311870522)	('>100', 3.694420181110558)	('>500', 3.151817441287564)	('>1k', 6.793873910642686)	('>5k', 0.8747745999121904)	('>10k+', 0.05622457849027572)
NeuN_plus.B66_T2_HS	(1.0, 74.25274032643358)	(2.0, 9.942750267416335)	(3.0, 2.11580284523286)	(4.0, 0.7915618130323758)	(5.0, 0.43516144578917143)	(6.0, 0.2948901315250207)	(7.0, 0.21125627787517628)	(8.0, 0.16608121432464548)	(9.0, 0.1256498089172603)	('>10', 1.7512397546533494)	('>50', 0.975897397960422)	('>100', 3.732960382310229)	('>500', 2.234386623601144)	('>1k', 2.854207367564483)	('>5k', 0.1154143433638973)	('>10k+', 0.0)
NeuN_plus.B69_T1_HS	(1.0, 60.655560242267704)	(2.0, 11.259657234915506)	(3.0, 5.139594716644131)	(4.0, 3.186832890102483)	(5.0, 2.301625534504462)	(6.0, 1.7523000854199267)	(7.0, 1.2788278908496737)	(8.0, 1.1383125494477804)	(9.0, 0.9009277688222532)	('>10', 9.057709189352185)	('>50', 1.0842493224262129)	('>100', 1.3804112554630872)	('>500', 0.4294813318388688)	('>1k', 0.32609444089942713)	('>5k', 0.025923448993025663)	('>10k+', 0.08249209805349227)
NeuN_plus.B70_T1_HS	(1.0, 69.48414710707698)	(2.0, 10.660210898415402)	(3.0, 4.317639931582763)	(4.0, 2.375457302079216)	(5.0, 1.6365517636308495)	(6.0, 1.1450701250331383)	(7.0, 0.86526878860066)	(8.0, 0.6452625647453765)	(9.0, 0.5577087614626877)	('>10', 3.869644355686537)	('>50', 0.5838992756648812)	('>100', 2.2617356288525277)	('>500', 0.9809219423223403)	('>1k', 0.6164815548465864)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_plus.B71_T1_HS	(1.0, 42.46516714439789)	(2.0, 19.900462952940483)	(3.0, 10.339136232158696)	(4.0, 6.14409509084027)	(5.0, 4.211246683527138)	(6.0, 2.934636366699021)	(7.0, 2.1481939095532296)	(8.0, 1.5887108265649732)	(9.0, 1.306230198881023)	('>10', 7.795071960304748)	('>50', 0.5968617243378107)	('>100', 0.5544337536677985)	('>500', 0.015753156126931532)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_plus.B72_T1_HS	(1.0, 48.65417855330534)	(2.0, 18.906945591531414)	(3.0, 6.75773440238355)	(4.0, 3.075473707377072)	(5.0, 1.7291562654808161)	(6.0, 1.2402031398070827)	(7.0, 0.9579350507363443)	(8.0, 0.7795069693868362)	(9.0, 0.6245069170766689)	('>10', 5.282367688218168)	('>50', 0.754183604800244)	('>100', 3.219248875684929)	('>500', 2.6512165950976545)	('>1k', 4.993034675927134)	('>5k', 0.3583106816158355)	('>10k+', 0.01599728157099092)
NeuN_plus.B73_T1_HS	(1.0, 72.65724496264427)	(2.0, 13.113743054948646)	(3.0, 3.032060505808374)	(4.0, 1.1277694670655805)	(5.0, 0.5824598456836309)	(6.0, 0.3902778444795899)	(7.0, 0.2672666733527938)	(8.0, 0.23516595538498145)	(9.0, 0.17064493077166124)	('>10', 1.4238375130446337)	('>50', 0.6140878725569269)	('>100', 2.906717897960755)	('>500', 1.675067608585227)	('>1k', 1.7844153531880464)	('>5k', 0.019240514524942423)	('>10k+', 0.0)
NeuN_plus.B74_T1_HS	(1.0, 63.89260016226031)	(2.0, 12.705144125176052)	(3.0, 3.6142519528013275)	(4.0, 1.568336745659273)	(5.0, 0.941117649941541)	(6.0, 0.6517813676616868)	(7.0, 0.5019761580752493)	(8.0, 0.3246087094315878)	(9.0, 0.28252796698698507)	('>10', 1.9704044731646584)	('>50', 0.81402934690973)	('>100', 4.053319450721127)	('>500', 2.84102603251264)	('>1k', 5.3056773605670005)	('>5k', 0.5331984981307536)	('>10k+', 0.0)
