Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NeuN_minus.B36_T3_HS	(1.0, 51.815466613143016)	(2.0, 17.11519916717246)	(3.0, 7.090057028682492)	(4.0, 3.9607694325705696)	(5.0, 2.4073435862993793)	(6.0, 1.7943426843857708)	(7.0, 1.2995062610478503)	(8.0, 1.000389487487038)	(9.0, 0.7829790091808907)	('>10', 5.170699761222462)	('>50', 0.7432093753357293)	('>100', 3.143646471104965)	('>500', 1.7769456390374756)	('>1k', 1.8770396732824195)	('>5k', 0.022405810047476386)	('>10k+', 0.0)
NeuN_minus.B37_T1_HS	(1.0, 53.7471455542795)	(2.0, 18.655433898213925)	(3.0, 6.330068195650114)	(4.0, 2.6400966554801752)	(5.0, 1.5276214788453253)	(6.0, 0.7999159492389478)	(7.0, 0.5156817535312499)	(8.0, 0.35233763641064725)	(9.0, 0.26030503102850644)	('>10', 1.9535374439530635)	('>50', 0.859079555944982)	('>100', 4.243868033397677)	('>500', 3.1877101408922637)	('>1k', 4.858344165237526)	('>5k', 0.06885450789625899)	('>10k+', 0.0)
NeuN_minus.B38_T1_HS	(1.0, 33.39227019689372)	(2.0, 22.484147715672663)	(3.0, 12.819869486150415)	(4.0, 7.433233062335229)	(5.0, 4.864103739189578)	(6.0, 3.4463394987506772)	(7.0, 2.560105208789231)	(8.0, 2.052894656819713)	(9.0, 1.5109067023126552)	('>10', 6.8610366430896015)	('>50', 0.5148265779390806)	('>100', 1.5453035613493384)	('>500', 0.40664918139045697)	('>1k', 0.10831376931780617)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_minus.B39_T1_HS	(1.0, 56.28440257006629)	(2.0, 19.43506533623416)	(3.0, 6.457025187803218)	(4.0, 2.6299319994169004)	(5.0, 1.321487564556706)	(6.0, 0.725247751649389)	(7.0, 0.5115183772594816)	(8.0, 0.34839203629966176)	(9.0, 0.22926962242917828)	('>10', 1.6941356732008022)	('>50', 0.8058596980158369)	('>100', 3.6945072677187727)	('>500', 2.6081198818258233)	('>1k', 3.2366685274106355)	('>5k', 0.01836850611310682)	('>10k+', 0.0)
NeuN_minus.B40_T2_HS	(1.0, 62.054706301547135)	(2.0, 14.619104980104838)	(3.0, 4.937260272246416)	(4.0, 2.354855201694549)	(5.0, 1.3002281196840213)	(6.0, 0.8051916289163269)	(7.0, 0.539822425084906)	(8.0, 0.3932014589942321)	(9.0, 0.2973222349386598)	('>10', 2.0695288493338877)	('>50', 0.8396812964469912)	('>100', 3.6571849084986265)	('>500', 2.498564235772834)	('>1k', 3.583714086421291)	('>5k', 0.049634000315551055)	('>10k+', 0.0)
NeuN_minus.B41_T1_HS	(1.0, 60.824272387975455)	(2.0, 17.30451473749458)	(3.0, 4.980801260653857)	(4.0, 1.937148962770077)	(5.0, 0.9684717706028594)	(6.0, 0.5656039136345092)	(7.0, 0.3558654909065367)	(8.0, 0.2528982889961216)	(9.0, 0.2183423674767162)	('>10', 2.176162270600351)	('>50', 1.0873264260904207)	('>100', 3.9323780502293118)	('>500', 2.245888712185718)	('>1k', 3.110162224019768)	('>5k', 0.04016313636363559)	('>10k+', 0.0)
NeuN_minus.B42_T3_HS	(1.0, 69.11108542265445)	(2.0, 12.22875190780967)	(3.0, 3.2411827732620138)	(4.0, 1.3854166600751803)	(5.0, 0.9072568878696989)	(6.0, 0.5885205982955803)	(7.0, 0.4480848329439965)	(8.0, 0.3190827537567294)	(9.0, 0.25996256459276124)	('>10', 2.3881899407031013)	('>50', 1.0289527051454026)	('>100', 3.702132796804151)	('>500', 2.0559462900979937)	('>1k', 2.2306236283209815)	('>5k', 0.06830871642678815)	('>10k+', 0.03650152124159079)
NeuN_minus.B43_T2_HS	(1.0, 79.24180233842488)	(2.0, 7.310904792924908)	(3.0, 1.4936131428210995)	(4.0, 0.5902514067330765)	(5.0, 0.35441820768136983)	(6.0, 0.271035071662371)	(7.0, 0.17962398466928714)	(8.0, 0.14662341237598708)	(9.0, 0.12136656543770252)	('>10', 2.0846087008059193)	('>50', 1.0879483074622502)	('>100', 4.139034491765183)	('>500', 1.8443099877444982)	('>1k', 1.134459589491459)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_minus.B44_T1_HS	(1.0, 76.66257153171114)	(2.0, 9.545861411479004)	(3.0, 1.788759894963693)	(4.0, 0.6040756406627943)	(5.0, 0.32624645312157036)	(6.0, 0.2456985581223143)	(7.0, 0.17765373264749387)	(8.0, 0.14267782912650123)	(9.0, 0.12327490510408859)	('>10', 2.023674150792625)	('>50', 1.1234381614470628)	('>100', 4.027407466622935)	('>500', 1.9162313602564505)	('>1k', 1.2376590891113248)	('>5k', 0.054769814830783206)	('>10k+', 0.0)
NeuN_minus.B45_T2_HS	(1.0, 53.384373117323435)	(2.0, 12.896068278182598)	(3.0, 4.668999363104347)	(4.0, 2.3357026628387976)	(5.0, 1.4123708764248308)	(6.0, 0.9144075726318704)	(7.0, 0.6818702605922681)	(8.0, 0.4925498199706159)	(9.0, 0.32693602202585237)	('>10', 2.7161156124179198)	('>50', 0.8846805502430508)	('>100', 4.850327767914735)	('>500', 4.124463317382783)	('>1k', 9.266635905723717)	('>5k', 1.0239168473261373)	('>10k+', 0.020582025896944425)
