Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
NeuN_minus.B34_T4_HS	(1, 31.541876824948364)	(2, 31.545437836230818)	(3, 35.53443977909005)	(4, 36.0159865843637)	(5, 36.305392498886704)	(6, 39.93811778004613)	(7, 40.073554810102586)	(8, 40.12967020896277)	(9, 40.09584530388054)	(10, 40.01873794278148)	(11, 40.126598425953304)	(12, 40.06714266496351)	(13, 40.11687816915496)	(14, 40.06572825897033)	(15, 40.10830823157159)	(16, 40.09495851208601)	(17, 40.077861672506245)	(18, 40.071746074374865)	(19, 40.073036652545916)	(20, 40.07786927627567)	(21, 40.04614339611402)	(22, 40.045332939172575)	(23, 40.035579907506)	(24, 40.03847283587458)	(25, 40.03164155698069)	(26, 39.97579819826673)	(27, 39.95795244857807)	(28, 39.949739241400415)	(29, 39.94179912316477)	(30, 39.92738361740433)	(31, 39.9233153910012)	(32, 39.91770316240596)	(33, 39.896771942922854)	(34, 39.89332892116601)	(35, 39.803153459729074)	(36, 39.82353808180984)	(37, 39.78071244627631)	(38, 39.82713858025354)	(39, 39.83554048327251)	(40, 39.83675128304432)	(41, 39.829126572660535)	(42, 39.811238801220824)	(43, 39.76798618344403)	(44, 39.71618409708157)	(45, 39.74288724179784)	(46, 39.75613692364564)	(47, 39.74616280582798)	(48, 39.72359952026682)	(49, 39.719164355179025)	(50, 39.711773770973906)	(51, 39.471765001642765)
NeuN_minus.B35_T3_HS	(1, 31.46860757170219)	(2, 31.485717339873744)	(3, 35.40392142171528)	(4, 35.90807482447265)	(5, 36.279985692749676)	(6, 39.89467129507421)	(7, 40.010581180242674)	(8, 40.06400686141374)	(9, 40.01902446446812)	(10, 39.960009272501225)	(11, 40.09094439179847)	(12, 40.003128150716435)	(13, 40.05890252330678)	(14, 39.98623930423974)	(15, 40.051375130280455)	(16, 40.035279598490774)	(17, 40.022158013793664)	(18, 40.021004412161524)	(19, 40.01408674990656)	(20, 40.01603468041529)	(21, 40.021439967575894)	(22, 40.00440072458696)	(23, 39.991378936143846)	(24, 39.946277270504424)	(25, 39.95073116983085)	(26, 39.88312340493335)	(27, 39.87210378273675)	(28, 39.85630706240115)	(29, 39.85114934671681)	(30, 39.810532006091)	(31, 39.820307935415535)	(32, 39.7849780955336)	(33, 39.78434010788044)	(34, 39.78618069032358)	(35, 39.73212675771926)	(36, 39.754667464246154)	(37, 39.748224380299746)	(38, 39.74392852291464)	(39, 39.726247844028)	(40, 39.71656624993669)	(41, 39.70752528039143)	(42, 39.69475368471455)	(43, 39.68474088751449)	(44, 39.67294572235278)	(45, 39.656095477491526)	(46, 39.63505795594117)	(47, 39.623290173897935)	(48, 39.603906280645106)	(49, 39.60119538312197)	(50, 39.582328523713514)	(51, 39.33667590973039)
NeuN_minus.B36_T3_HS	(1, 31.334689485721995)	(2, 31.4817813155035)	(3, 35.34565581488189)	(4, 35.85294642893526)	(5, 36.24558899310625)	(6, 39.76415651754219)	(7, 39.929076488909274)	(8, 40.013596494660696)	(9, 39.985968850095624)	(10, 39.93311693927161)	(11, 40.01152536565858)	(12, 39.956857863660424)	(13, 39.935840277522196)	(14, 39.9314681599834)	(15, 39.98603354710566)	(16, 39.983463696488)	(17, 39.96287824304071)	(18, 39.92376455876769)	(19, 39.95074005876513)	(20, 39.93926001820507)	(21, 39.96105163995359)	(22, 39.93633199743683)	(23, 39.925272705739886)	(24, 39.924209223371335)	(25, 39.91794388148038)	(26, 39.857023698865675)	(27, 39.829545935976704)	(28, 39.818537240866725)	(29, 39.80278462658037)	(30, 39.7962284472931)	(31, 39.789976057740326)	(32, 39.77930350895497)	(33, 39.65505834244093)	(34, 39.69448181559635)	(35, 39.711177266314756)	(36, 39.73321831355189)	(37, 39.73240343199124)	(38, 39.68540174142812)	(39, 39.70616110548352)	(40, 39.696940916446)	(41, 39.70853495698627)	(42, 39.621639062285645)	(43, 39.67080917800419)	(44, 39.68209444838531)	(45, 39.667853878091755)	(46, 39.65365803459895)	(47, 39.63903101245759)	(48, 39.635839708330806)	(49, 39.62349276664466)	(50, 39.60656077809498)	(51, 39.36530127785407)
NeuN_minus.B37_T1_HS	(1, 31.461882306679374)	(2, 31.368005976991558)	(3, 35.10262814002979)	(4, 35.6805666263211)	(5, 36.09512287545365)	(6, 39.58591144627349)	(7, 39.72025887760806)	(8, 39.783865369992334)	(9, 39.741762449584094)	(10, 39.695370333208956)	(11, 39.81603284868542)	(12, 39.72727571692069)	(13, 39.7985953937304)	(14, 39.733793320794355)	(15, 39.78770124270215)	(16, 39.770916892158226)	(17, 39.7275626007526)	(18, 39.72295454602875)	(19, 39.718456498300874)	(20, 39.713932936902246)	(21, 39.71989590836517)	(22, 39.71839219639529)	(23, 39.70135921181644)	(24, 39.682841567684186)	(25, 39.66997872217845)	(26, 39.585647984488354)	(27, 39.55963197192635)	(28, 39.54106220286773)	(29, 39.52972495890166)	(30, 39.48115894109817)	(31, 39.41303741948438)	(32, 39.43871510669001)	(33, 39.43485295407096)	(34, 39.4576600012616)	(35, 39.45724701942547)	(36, 39.45640392928754)	(37, 39.45391203888648)	(38, 39.44076479464663)	(39, 39.42818067356836)	(40, 39.41156516471083)	(41, 39.399014198979046)	(42, 39.388820597020725)	(43, 39.365163149362786)	(44, 39.35098740597995)	(45, 39.33844745751508)	(46, 39.32594903089262)	(47, 39.314170992704206)	(48, 39.29585818275815)	(49, 39.29329378962877)	(50, 39.27575382438949)	(51, 39.03864697773381)
NeuN_minus.B38_T1_HS	(1, 31.572741511874302)	(2, 31.492606354096537)	(3, 35.36390376439952)	(4, 35.949454002617465)	(5, 36.23554444239663)	(6, 39.776381737370905)	(7, 39.878523710104105)	(8, 39.929670348415314)	(9, 39.967450310814975)	(10, 39.902462398300784)	(11, 39.990349255804915)	(12, 39.912095231663436)	(13, 39.96337518549536)	(14, 39.93721913624351)	(15, 39.95340984644524)	(16, 39.931650247499014)	(17, 39.88781961822324)	(18, 39.882118902650596)	(19, 39.87802969678046)	(20, 39.87151345681159)	(21, 39.87905239755876)	(22, 39.879604330327545)	(23, 39.86057949063919)	(24, 39.84728924978656)	(25, 39.83817848229809)	(26, 39.763858793478256)	(27, 39.744900712347146)	(28, 39.73073767895616)	(29, 39.71837663038004)	(30, 39.67598655927714)	(31, 39.605414359354725)	(32, 39.63334784550131)	(33, 39.63353084613641)	(34, 39.657123909542385)	(35, 39.66003481524666)	(36, 39.65874818168221)	(37, 39.658705164669946)	(38, 39.64274717123213)	(39, 39.63254229224384)	(40, 39.61756224576407)	(41, 39.60118251812813)	(42, 39.59368701308801)	(43, 39.57127121086454)	(44, 39.55778210549666)	(45, 39.55485197084675)	(46, 39.547505443613716)	(47, 39.535797295278215)	(48, 39.52661178301717)	(49, 39.5266178153235)	(50, 39.50912665462945)	(51, 39.2831867294223)
NeuN_minus.B39_T1_HS	(1, 31.47341517406711)	(2, 31.351989036989885)	(3, 35.12985889445573)	(4, 35.68069650843817)	(5, 36.08074229387908)	(6, 39.57763406137692)	(7, 39.73890439264267)	(8, 39.80650997182903)	(9, 39.74161026662132)	(10, 39.696181053394874)	(11, 39.803535841030445)	(12, 39.73699853538577)	(13, 39.78333216952805)	(14, 39.731227960326265)	(15, 39.786245694617804)	(16, 39.74734665749723)	(17, 39.744273463783266)	(18, 39.75570184170494)	(19, 39.75293101777745)	(20, 39.75498162368676)	(21, 39.75943468333677)	(22, 39.73509420929544)	(23, 39.72831094560111)	(24, 39.704534813261596)	(25, 39.690058594895454)	(26, 39.61887706523656)	(27, 39.591150505375765)	(28, 39.57471882707799)	(29, 39.55886131843482)	(30, 39.54373022369311)	(31, 39.536486577384466)	(32, 39.51880163925979)	(33, 39.51220686929033)	(34, 39.49844873243089)	(35, 39.49999090202197)	(36, 39.489662346794766)	(37, 39.48161898643682)	(38, 39.46239501227123)	(39, 39.43429874690397)	(40, 39.42507038826075)	(41, 39.41402964473767)	(42, 39.3944465942102)	(43, 39.38076866555238)	(44, 39.36645256091702)	(45, 39.34792403904076)	(46, 39.346735515511554)	(47, 39.32338964097456)	(48, 39.309405033898784)	(49, 39.28930678143342)	(50, 39.28588907524412)	(51, 39.0192205201387)
NeuN_minus.B40_T2_HS	(1, 31.534945408222978)	(2, 31.555387534988707)	(3, 35.520817090657225)	(4, 36.04147926718821)	(5, 36.29788422572511)	(6, 39.88497226227609)	(7, 39.990616574445525)	(8, 40.03361651140266)	(9, 40.065469964099314)	(10, 39.97552845119845)	(11, 40.06616350047977)	(12, 39.997473369906416)	(13, 40.04538372289096)	(14, 40.003592080427765)	(15, 40.03366964196748)	(16, 40.01007266282052)	(17, 40.00192501364604)	(18, 39.99768925034184)	(19, 40.00577630633783)	(20, 40.00384271068605)	(21, 39.99714697789616)	(22, 39.9790420119518)	(23, 39.968913931113136)	(24, 39.957258869730055)	(25, 39.95385528519011)	(26, 39.88539957802489)	(27, 39.86070243116704)	(28, 39.84690323108785)	(29, 39.83931829543131)	(30, 39.822209426183086)	(31, 39.82596729019616)	(32, 39.81224419255347)	(33, 39.80809707212139)	(34, 39.79361489688242)	(35, 39.78817914529777)	(36, 39.78377956140013)	(37, 39.769734403307744)	(38, 39.755865800921285)	(39, 39.75184324124544)	(40, 39.734802817143155)	(41, 39.73362558983444)	(42, 39.71789941311735)	(43, 39.70638743924013)	(44, 39.70652434575509)	(45, 39.69866322849994)	(46, 39.67609965911754)	(47, 39.67179987956639)	(48, 39.64961026824495)	(49, 39.648914768872636)	(50, 39.63464923655353)	(51, 39.40985832682166)
NeuN_minus.B41_T1_HS	(1, 31.530364145342475)	(2, 31.419013281462256)	(3, 35.25707078826142)	(4, 35.804025517088455)	(5, 36.17827997251715)	(6, 39.72049888350319)	(7, 39.85228503202465)	(8, 39.92135003742787)	(9, 39.86162240474351)	(10, 39.823291424343374)	(11, 39.90989899735323)	(12, 39.85226312041611)	(13, 39.88934866840395)	(14, 39.84576785058879)	(15, 39.896416935157745)	(16, 39.858785436862526)	(17, 39.86051713972017)	(18, 39.86950782395799)	(19, 39.86705365689609)	(20, 39.870664188190545)	(21, 39.875349308256375)	(22, 39.84961576321787)	(23, 39.8426735133028)	(24, 39.822241992105766)	(25, 39.80860235031942)	(26, 39.74431240293555)	(27, 39.71824178710678)	(28, 39.70232335475893)	(29, 39.68647970622922)	(30, 39.673328710039684)	(31, 39.667778482870666)	(32, 39.651227440639985)	(33, 39.64530779378688)	(34, 39.63154118175594)	(35, 39.63453228358552)	(36, 39.625031694472696)	(37, 39.61869425513252)	(38, 39.60319672638561)	(39, 39.57562454649452)	(40, 39.56542041075702)	(41, 39.554129676679494)	(42, 39.53740369283531)	(43, 39.52447102658947)	(44, 39.51056513366976)	(45, 39.49266373420208)	(46, 39.4928214476043)	(47, 39.472560452246235)	(48, 39.45903021796481)	(49, 39.44032780703052)	(50, 39.43503417985125)	(51, 39.19000945728442)
NeuN_minus.B42_T3_HS	(1, 31.468476137624826)	(2, 31.435922195159986)	(3, 35.311393140029736)	(4, 35.83250983032852)	(5, 36.12554561469183)	(6, 39.68202830730128)	(7, 39.87113272916657)	(8, 39.95309081048959)	(9, 39.93196584956909)	(10, 39.872616239630666)	(11, 39.95257922730618)	(12, 39.89151083033068)	(13, 39.92762530775355)	(14, 39.89353270657743)	(15, 39.953664277953884)	(16, 39.94071766963086)	(17, 39.92892268076825)	(18, 39.92078781354904)	(19, 39.931759875550405)	(20, 39.92790584659618)	(21, 39.924989870911425)	(22, 39.85356387712919)	(23, 39.870487297601166)	(24, 39.86898850587116)	(25, 39.86492995671848)	(26, 39.801035543222994)	(27, 39.77890466793567)	(28, 39.77016648147689)	(29, 39.736444636765114)	(30, 39.7417003261048)	(31, 39.74453293327647)	(32, 39.73727318506456)	(33, 39.729263992526974)	(34, 39.71344206702479)	(35, 39.70214123165646)	(36, 39.701592382214635)	(37, 39.68876679634851)	(38, 39.682759498106364)	(39, 39.640989627703455)	(40, 39.53346031860696)	(41, 39.610999125672514)	(42, 39.62764119962396)	(43, 39.619977628614386)	(44, 39.60416255222082)	(45, 39.592331767073574)	(46, 39.514562868727175)	(47, 39.55077281367811)	(48, 39.54027636088638)	(49, 39.5128337595665)	(50, 39.52380351160906)	(51, 39.16320404919301)
NeuN_minus.B43_T2_HS	(1, 31.167327844828595)	(2, 31.35483016431901)	(3, 34.98142031010659)	(4, 35.585348137986195)	(5, 35.97086427642883)	(6, 39.437150587902885)	(7, 39.56458537182959)	(8, 39.623427166826396)	(9, 39.63355607688745)	(10, 39.5614250919118)	(11, 39.69439493907372)	(12, 39.59321067630605)	(13, 39.6604887812637)	(14, 39.560704222405974)	(15, 39.65783304752213)	(16, 39.62006650792793)	(17, 39.57379420798783)	(18, 39.55469195330445)	(19, 39.59725359339516)	(20, 39.57089236147478)	(21, 39.57836893658965)	(22, 39.54111436554099)	(23, 39.54429821210618)	(24, 39.5270259338334)	(25, 39.519127008410045)	(26, 39.423945343171745)	(27, 39.40119605608782)	(28, 39.379366043190146)	(29, 39.35342808625053)	(30, 39.33543768749761)	(31, 39.34694905758027)	(32, 39.33437373958735)	(33, 39.33148073993875)	(34, 39.31995292568431)	(35, 39.30933908749392)	(36, 39.29816279865009)	(37, 39.06093960148174)	(38, 39.18914008902395)	(39, 39.2548844875655)	(40, 39.28486188782541)	(41, 39.286599721893566)	(42, 39.26560223892647)	(43, 39.28782891123814)	(44, 39.251788934706816)	(45, 39.24200867607498)	(46, 39.22113027590196)	(47, 39.22189577958832)	(48, 39.20478721829016)	(49, 39.19806007755701)	(50, 39.20004364952952)	(51, 38.945872434162524)
